country,state,district,block,area_name,area_type,latitude,longitude,population,scheme_name,scheme_type,min_age,max_age,eligible_population,covered_population,missed_population,coverage_percent_calc,gap_percent,gap_category,priority_score,priority_rank,risk_level,trend_direction,risk_index
India,Uttar Pradesh,Prayagraj,Block-5,Prayagraj-Area-4,Village,14.2818,82.0404,9995,TB Screening,Screening,18,80,5005,4661,344,93.12687312687312,6.873126873126874,Low,5.06213031256968,602.0,Low,Decreasing,3.687504937944306
India,Uttar Pradesh,Prayagraj,Block-5,Prayagraj-Area-4,Village,14.2818,82.0404,9995,Diabetes Screening,Screening,30,80,4223,3586,637,84.91593653800615,15.084063461993843,Low,10.809785924776557,516.0,Low,Increasing,7.79297323237779
India,Uttar Pradesh,Prayagraj,Block-1,Prayagraj-Area-5,Village,27.3325,84.0265,7673,Child Vaccination,Vaccine,0,5,4106,3451,655,84.04773502191915,15.952264978080857,Low,11.359229220534077,504.0,Low,Increasing,8.168776224917908
India,Uttar Pradesh,Prayagraj,Block-1,Prayagraj-Area-5,Village,27.3325,84.0265,7673,TB Screening,Screening,18,80,4219,2008,2211,47.594216639013986,52.405783360986014,High,36.87669208856769,81.0,High,Decreasing,26.395535416370485
India,Uttar Pradesh,Prayagraj,Block-1,Prayagraj-Area-5,Village,27.3325,84.0265,7673,Diabetes Screening,Screening,30,80,3465,1862,1603,53.73737373737374,46.26262626262626,High,32.57648211971586,140.0,High,Decreasing,23.32395686719061
India,Uttar Pradesh,Prayagraj,Block-2,Prayagraj-Area-6,Village,20.1286,75.5638,906,Child Vaccination,Vaccine,0,5,299,225,74,75.25083612040135,24.74916387959866,Medium,17.34716138908085,401.0,Low,Increasing,12.397328613161118
India,Uttar Pradesh,Prayagraj,Block-2,Prayagraj-Area-6,Village,20.1286,75.5638,906,TB Screening,Screening,18,80,237,208,29,87.76371308016878,12.236286919831224,Low,8.588147517243645,546.0,Low,Decreasing,6.1408901332773995
India,Uttar Pradesh,Prayagraj,Block-2,Prayagraj-Area-6,Village,20.1286,75.5638,906,Diabetes Screening,Screening,30,80,432,304,128,70.37037037037037,29.629629629629626,Medium,20.763487414102524,349.0,Medium,Increasing,14.8375614881766
India,Uttar Pradesh,Prayagraj,Block-3,Prayagraj-Area-7,Village,26.8498,76.805,3347,Child Vaccination,Vaccine,0,5,1309,597,712,45.60733384262796,54.39266615737204,High,38.15889844674089,59.0,High,Increasing,27.28036521526649
India,Uttar Pradesh,Prayagraj,Block-3,Prayagraj-Area-7,Village,26.8498,76.805,3347,TB Screening,Screening,18,80,1490,1289,201,86.51006711409396,13.48993288590604,Low,9.526985156714694,534.0,Low,Decreasing,6.828998579533486
India,Uttar Pradesh,Prayagraj,Block-3,Prayagraj-Area-7,Village,26.8498,76.805,3347,Diabetes Screening,Screening,30,80,1756,1524,232,86.78815489749431,13.211845102505695,Low,9.332323708334453,538.0,Low,Increasing,6.689954687833314
India,Uttar Pradesh,Prayagraj,Block-4,Prayagraj-Area-8,Village,33.8448,76.7319,2319,Child Vaccination,Vaccine,0,5,706,393,313,55.6657223796034,44.3342776203966,High,31.092216779670537,162.0,High,Decreasing,22.22536125559122
India,Uttar Pradesh,Prayagraj,Block-4,Prayagraj-Area-8,Village,33.8448,76.7319,2319,TB Screening,Screening,18,80,986,808,178,81.94726166328601,18.052738336713997,Low,12.695139281092716,479.0,Low,Stable,9.084591613749918
India,Uttar Pradesh,Prayagraj,Block-4,Prayagraj-Area-8,Village,33.8448,76.7319,2319,Diabetes Screening,Screening,30,80,1021,561,460,54.94613124387855,45.05386875612145,High,31.595930574677936,154.0,High,Decreasing,22.585156823453648
India,Uttar Pradesh,Prayagraj,Block-5,Prayagraj-Area-9,Town,10.6113,86.9499,10691,Child Vaccination,Vaccine,0,5,4249,3815,434,89.78583196046128,10.214168039538714,Low,7.418333394686892,561.0,Low,Increasing,5.375499786779149
India,Uttar Pradesh,Prayagraj,Block-5,Prayagraj-Area-9,Town,10.6113,86.9499,10691,TB Screening,Screening,18,80,2965,1426,1539,48.09443507588533,51.905564924114664,High,36.602311213890054,88.0,High,Increasing,26.221198229067124
India,Uttar Pradesh,Prayagraj,Block-5,Prayagraj-Area-9,Town,10.6113,86.9499,10691,Diabetes Screening,Screening,30,80,3788,2426,1362,64.04435058078141,35.95564941921858,Medium,25.437370360462797,257.0,Medium,Decreasing,18.246240476619082
India,Uttar Pradesh,Prayagraj,Block-1,Prayagraj-Area-10,Town,29.7925,84.5946,9585,Child Vaccination,Vaccine,0,5,3354,3087,267,92.03935599284436,7.960644007155635,Low,5.813098557958981,590.0,Low,Decreasing,4.220969756527855
India,Uttar Pradesh,Prayagraj,Block-1,Prayagraj-Area-10,Town,29.7925,84.5946,9585,TB Screening,Screening,18,80,4323,2257,2066,52.209114041175106,47.790885958824894,High,33.694267924127466,125.0,High,Increasing,24.136090732362486
India,Uttar Pradesh,Prayagraj,Block-1,Prayagraj-Area-10,Town,29.7925,84.5946,9585,Diabetes Screening,Screening,30,80,4862,3151,1711,64.80872069107363,35.19127930892637,Medium,24.874543269198497,264.0,Medium,Decreasing,17.836287407413224
India,Uttar Pradesh,Prayagraj,Block-2,Prayagraj-Area-11,Village,34.2741,77.5707,9844,Child Vaccination,Vaccine,0,5,3434,2033,1401,59.202096680256254,40.79790331974374,High,28.80568271297452,212.0,High,Decreasing,20.646102049025775
India,Uttar Pradesh,Prayagraj,Block-2,Prayagraj-Area-11,Village,34.2741,77.5707,9844,TB Screening,Screening,18,80,4509,1869,2640,41.45043246839654,58.549567531603465,High,41.231847661276326,10.0,Critical,Increasing,29.521934154955638
India,Uttar Pradesh,Prayagraj,Block-2,Prayagraj-Area-11,Village,34.2741,77.5707,9844,Diabetes Screening,Screening,30,80,3312,1421,1891,42.90458937198068,57.09541062801933,High,40.21393782876743,29.0,Critical,Decreasing,28.79485570316357
India,Uttar Pradesh,Prayagraj,Block-3,Prayagraj-Area-12,Town,30.3939,82.3704,6725,Child Vaccination,Vaccine,0,5,3588,2425,1163,67.58639910813824,32.41360089186176,Medium,22.85836320527235,300.0,Medium,Increasing,16.3756430269
India,Uttar Pradesh,Prayagraj,Block-3,Prayagraj-Area-12,Town,30.3939,82.3704,6725,TB Screening,Screening,18,80,3322,1759,1563,52.95003010234798,47.04996989765202,High,33.103821509325535,130.0,High,Decreasing,23.69382752979513
India,Uttar Pradesh,Prayagraj,Block-3,Prayagraj-Area-12,Town,30.3939,82.3704,6725,Diabetes Screening,Screening,30,80,2791,2643,148,94.69724113221068,5.302758867789323,Low,3.8807737884216444,626.0,Low,Increasing,2.82022201486378
India,Uttar Pradesh,Prayagraj,Block-4,Prayagraj-Area-13,Ward,13.1918,71.3911,11634,Child Vaccination,Vaccine,0,5,4495,2724,1771,60.60066740823137,39.39933259176863,Medium,27.871624202638746,227.0,Medium,Decreasing,19.99175768428502
India,Uttar Pradesh,Prayagraj,Block-4,Prayagraj-Area-13,Ward,13.1918,71.3911,11634,TB Screening,Screening,18,80,4006,1664,2342,41.537693459810285,58.462306540189715,High,41.215705966533505,11.0,Critical,Increasing,29.52324465849556
India,Uttar Pradesh,Prayagraj,Block-4,Prayagraj-Area-13,Ward,13.1918,71.3911,11634,Diabetes Screening,Screening,30,80,4036,3680,356,91.17938553022795,8.820614469772051,Low,6.466521517241138,574.0,Low,Stable,4.7023986232867285
India,Uttar Pradesh,Prayagraj,Block-5,Prayagraj-Area-14,Village,28.8728,89.7044,4614,Child Vaccination,Vaccine,0,5,2496,2150,346,86.13782051282051,13.862179487179487,Low,9.819367970927724,529.0,Low,Increasing,7.046932073491828
India,Uttar Pradesh,Prayagraj,Block-5,Prayagraj-Area-14,Village,28.8728,89.7044,4614,TB Screening,Screening,18,80,1712,1296,416,75.70093457943925,24.299065420560748,Medium,17.125188124294606,406.0,Low,Increasing,12.265375040182457
India,Uttar Pradesh,Prayagraj,Block-5,Prayagraj-Area-14,Village,28.8728,89.7044,4614,Diabetes Screening,Screening,30,80,1865,1557,308,83.48525469168901,16.514745308310992,Low,11.676164045719776,497.0,Low,Increasing,8.37321498405758
India,Uttar Pradesh,Varanasi,Block-2,Varanasi-Area-1,Village,18.2634,79.0682,6777,Child Vaccination,Vaccine,0,5,3703,1761,1942,47.556035646772884,52.443964353227116,High,36.88092317680957,80.0,High,Increasing,26.392130306164148
India,Uttar Pradesh,Varanasi,Block-2,Varanasi-Area-1,Village,18.2634,79.0682,6777,TB Screening,Screening,18,80,3031,1690,1341,55.757175849554606,44.2428241504454,High,31.14012503486237,161.0,High,Stable,22.29156020477329
India,Uttar Pradesh,Varanasi,Block-2,Varanasi-Area-1,Village,18.2634,79.0682,6777,Diabetes Screening,Screening,30,80,2797,2395,402,85.62745799070433,14.372542009295675,Low,10.230927536057562,524.0,Low,Decreasing,7.356419134198427
India,Uttar Pradesh,Varanasi,Block-3,Varanasi-Area-2,Village,17.9949,74.1901,5174,Child Vaccination,Vaccine,0,5,1934,1514,420,78.2833505687694,21.71664943123061,Medium,15.331556685717816,435.0,Low,Increasing,10.988226799471695
India,Uttar Pradesh,Varanasi,Block-3,Varanasi-Area-2,Village,17.9949,74.1901,5174,TB Screening,Screening,18,80,1584,754,830,47.6010101010101,52.3989898989899,High,36.80919501314931,84.0,High,Increasing,26.32939703335134
India,Uttar Pradesh,Varanasi,Block-3,Varanasi-Area-2,Village,17.9949,74.1901,5174,Diabetes Screening,Screening,30,80,1855,1461,394,78.76010781671158,21.239892183288408,Medium,14.997826612158274,440.0,Low,Increasing,10.749848175500594
India,Uttar Pradesh,Varanasi,Block-4,Varanasi-Area-3,Ward,33.2897,82.9607,10780,Child Vaccination,Vaccine,0,5,5141,3324,1817,64.65668157945925,35.343318420540754,Medium,25.01097315799891,261.0,Medium,Increasing,17.942309473890763
India,Uttar Pradesh,Varanasi,Block-4,Varanasi-Area-3,Ward,33.2897,82.9607,10780,TB Screening,Screening,18,80,4717,1900,2817,40.279838880644476,59.72016111935552,High,42.07476304716925,1.0,Critical,Decreasing,30.130730823298144
India,Uttar Pradesh,Varanasi,Block-4,Varanasi-Area-3,Ward,33.2897,82.9607,10780,Diabetes Screening,Screening,30,80,5152,2285,2867,44.351708074534166,55.64829192546584,High,39.224454611446475,46.0,Critical,Increasing,28.094796226353306
India,Uttar Pradesh,Varanasi,Block-5,Varanasi-Area-4,Ward,12.6207,84.5825,3477,Child Vaccination,Vaccine,0,5,1081,584,497,54.024051803885285,45.97594819611471,High,32.27045974531444,146.0,High,Stable,23.075270106091498
India,Uttar Pradesh,Varanasi,Block-5,Varanasi-Area-4,Ward,12.6207,84.5825,3477,TB Screening,Screening,18,80,1442,1239,203,85.92233009708737,14.077669902912621,Low,9.941664940072979,527.0,Low,Decreasing,7.126130959490456
India,Uttar Pradesh,Varanasi,Block-5,Varanasi-Area-4,Ward,12.6207,84.5825,3477,Diabetes Screening,Screening,30,80,1836,1288,548,70.1525054466231,29.847494553376908,Medium,20.98054219539798,344.0,Medium,Decreasing,15.011043284722598
India,Uttar Pradesh,Varanasi,Block-1,Varanasi-Area-5,Town,18.2453,89.7905,11285,Child Vaccination,Vaccine,0,5,4304,3443,861,79.9953531598513,20.0046468401487,Medium,14.28658193698684,454.0,Low,Increasing,10.2856525689571
India,Uttar Pradesh,Varanasi,Block-1,Varanasi-Area-5,Town,18.2453,89.7905,11285,TB Screening,Screening,18,80,5185,3579,1606,69.02603664416587,30.97396335583414,Medium,21.965103497966652,319.0,Medium,Increasing,15.770310826799822
India,Uttar Pradesh,Varanasi,Block-1,Varanasi-Area-5,Town,18.2453,89.7905,11285,Diabetes Screening,Screening,30,80,3232,1490,1742,46.101485148514854,53.898514851485146,High,38.012289544922346,61.0,High,Increasing,27.232586574625326
India,Uttar Pradesh,Varanasi,Block-2,Varanasi-Area-6,Ward,23.0376,83.6923,1716,Child Vaccination,Vaccine,0,5,929,518,411,55.758880516684606,44.241119483315394,High,31.011866741509323,165.0,High,Decreasing,22.163642844846247
India,Uttar Pradesh,Varanasi,Block-2,Varanasi-Area-6,Ward,23.0376,83.6923,1716,TB Screening,Screening,18,80,742,419,323,56.46900269541779,43.53099730458221,High,30.514781216396095,177.0,High,Decreasing,21.808581755479654
India,Uttar Pradesh,Varanasi,Block-2,Varanasi-Area-6,Ward,23.0376,83.6923,1716,Diabetes Screening,Screening,30,80,552,235,317,42.572463768115945,57.427536231884055,High,40.24235846550739,28.0,Critical,Stable,28.756851219130578
India,Uttar Pradesh,Varanasi,Block-3,Varanasi-Area-7,Village,30.1887,86.1009,7372,Child Vaccination,Vaccine,0,5,2193,1383,810,63.064295485636116,36.935704514363884,Medium,26.04007977818176,251.0,Medium,Decreasing,18.652938875308983
India,Uttar Pradesh,Varanasi,Block-3,Varanasi-Area-7,Village,30.1887,86.1009,7372,TB Screening,Screening,18,80,3061,2560,501,83.6327997386475,16.3672002613525,Low,11.64212680107379,500.0,Low,Decreasing,8.36868674880329
India,Uttar Pradesh,Varanasi,Block-3,Varanasi-Area-7,Village,30.1887,86.1009,7372,Diabetes Screening,Screening,30,80,3064,1995,1069,65.11096605744126,34.88903394255875,Medium,24.607410377918164,269.0,Medium,Increasing,17.629603589406415
India,Uttar Pradesh,Varanasi,Block-4,Varanasi-Area-8,Town,9.7871,88.2627,10092,Child Vaccination,Vaccine,0,5,2805,1293,1512,46.096256684491976,53.903743315508024,High,37.985997172474995,62.0,High,Increasing,27.205248509373394
India,Uttar Pradesh,Varanasi,Block-4,Varanasi-Area-8,Town,9.7871,88.2627,10092,TB Screening,Screening,18,80,5527,4962,565,89.77745612447983,10.222543875520174,Low,7.409157564483503,562.0,Low,Decreasing,5.364648789379469
India,Uttar Pradesh,Varanasi,Block-4,Varanasi-Area-8,Town,9.7871,88.2627,10092,Diabetes Screening,Screening,30,80,5286,3849,1437,72.81498297389331,27.185017026106696,Medium,19.28288876989407,370.0,Medium,Decreasing,13.84588536467273
India,Uttar Pradesh,Varanasi,Block-5,Varanasi-Area-9,Ward,16.4963,83.1088,7282,Child Vaccination,Vaccine,0,5,2828,1156,1672,40.87694483734088,59.12305516265912,High,41.56896562867434,6.0,Critical,Decreasing,29.744354596142514
India,Uttar Pradesh,Varanasi,Block-5,Varanasi-Area-9,Ward,16.4963,83.1088,7282,TB Screening,Screening,18,80,2077,1419,658,68.31969186326432,31.680308136735675,Medium,22.359042710527927,309.0,Medium,Decreasing,16.02298108318079
India,Uttar Pradesh,Varanasi,Block-5,Varanasi-Area-9,Ward,16.4963,83.1088,7282,Diabetes Screening,Screening,30,80,3638,1939,1699,53.29851566794942,46.701484332050576,High,32.873866047248356,133.0,High,Decreasing,23.533569180838242
India,Uttar Pradesh,Varanasi,Block-1,Varanasi-Area-10,Ward,20.389,75.2976,4840,Child Vaccination,Vaccine,0,5,1933,925,1008,47.853078116916706,52.14692188308329,High,36.62436176304909,87.0,High,Increasing,26.19497738643243
India,Uttar Pradesh,Varanasi,Block-1,Varanasi-Area-10,Ward,20.389,75.2976,4840,TB Screening,Screening,18,80,2250,1431,819,63.6,36.4,Medium,25.601516444890784,255.0,Medium,Decreasing,18.321516444890786
India,Uttar Pradesh,Varanasi,Block-1,Varanasi-Area-10,Ward,20.389,75.2976,4840,Diabetes Screening,Screening,30,80,1948,1437,511,73.76796714579056,26.232032854209447,Medium,18.4839394428374,384.0,Medium,Decreasing,13.237532871995509
India,Uttar Pradesh,Varanasi,Block-2,Varanasi-Area-11,Ward,23.1569,75.2548,10377,Child Vaccination,Vaccine,0,5,3445,1833,1612,53.20754716981132,46.79245283018868,High,33.01524924324606,131.0,High,Decreasing,23.656758677208323
India,Uttar Pradesh,Varanasi,Block-2,Varanasi-Area-11,Ward,23.1569,75.2548,10377,TB Screening,Screening,18,80,5192,3266,1926,62.90446841294299,37.09553158705701,Medium,26.22740437305389,248.0,Medium,Increasing,18.80829805564249
India,Uttar Pradesh,Varanasi,Block-2,Varanasi-Area-11,Ward,23.1569,75.2548,10377,Diabetes Screening,Screening,30,80,5645,4320,1325,76.52790079716564,23.472099202834368,Medium,16.69100170409804,414.0,Low,Decreasing,11.99658186353117
India,Uttar Pradesh,Varanasi,Block-3,Varanasi-Area-12,Town,32.2412,77.988,4393,Child Vaccination,Vaccine,0,5,1419,634,785,44.67935165609585,55.32064834390415,High,38.83474758916374,52.0,Critical,Increasing,27.770617920382907
India,Uttar Pradesh,Varanasi,Block-3,Varanasi-Area-12,Town,32.2412,77.988,4393,TB Screening,Screening,18,80,1824,1707,117,93.58552631578947,6.4144736842105265,Low,4.600425327378199,610.0,Low,Increasing,3.3175305905360943
India,Uttar Pradesh,Varanasi,Block-3,Varanasi-Area-12,Town,32.2412,77.988,4393,Diabetes Screening,Screening,30,80,1603,700,903,43.66812227074236,56.33187772925764,High,39.54260815891118,40.0,Critical,Increasing,28.27623261305965
India,Uttar Pradesh,Varanasi,Block-4,Varanasi-Area-13,Village,21.7572,71.8182,1571,Child Vaccination,Vaccine,0,5,827,570,257,68.92382103990326,31.076178960096733,Medium,21.792767903250237,323.0,Medium,Increasing,15.577532111230893
India,Uttar Pradesh,Varanasi,Block-4,Varanasi-Area-13,Village,21.7572,71.8182,1571,TB Screening,Screening,18,80,632,429,203,67.87974683544303,32.120253164556964,Medium,22.523619846372398,307.0,Medium,Decreasing,16.099569213461006
India,Uttar Pradesh,Varanasi,Block-4,Varanasi-Area-13,Village,21.7572,71.8182,1571,Diabetes Screening,Screening,30,80,807,761,46,94.2998760842627,5.700123915737299,Low,4.029529372198635,622.0,Low,Increasing,2.889504589051175
India,Uttar Pradesh,Varanasi,Block-5,Varanasi-Area-14,Village,12.1267,73.1996,11949,Child Vaccination,Vaccine,0,5,6084,4287,1797,70.46351084812623,29.536489151873766,Medium,20.975542406311636,345.0,Medium,Decreasing,15.068244575936884
India,Uttar Pradesh,Varanasi,Block-5,Varanasi-Area-14,Village,12.1267,73.1996,11949,TB Screening,Screening,18,80,3977,2444,1533,61.453356801609246,38.54664319839075,Medium,27.282650238873522,236.0,Medium,Increasing,19.573321599195374
India,Uttar Pradesh,Varanasi,Block-5,Varanasi-Area-14,Village,12.1267,73.1996,11949,Diabetes Screening,Screening,30,80,5819,3832,1987,65.85323938821104,34.14676061178897,Medium,24.20273242825228,278.0,Medium,Increasing,17.373380305894486
India,Uttar Pradesh,Lucknow,Block-2,Lucknow-Area-1,Town,24.103,77.6953,10563,Child Vaccination,Vaccine,0,5,3955,2964,991,74.94310998735777,25.056890012642224,Medium,17.805025117812647,391.0,Medium,Decreasing,12.793647115284205
India,Uttar Pradesh,Lucknow,Block-2,Lucknow-Area-1,Town,24.103,77.6953,10563,TB Screening,Screening,18,80,5601,5262,339,93.94750937332618,6.052490626673808,Low,4.501945547634758,613.0,Low,Decreasing,3.291447422299997
India,Uttar Pradesh,Lucknow,Block-2,Lucknow-Area-1,Town,24.103,77.6953,10563,Diabetes Screening,Screening,30,80,4249,2292,1957,53.94210402447634,46.05789597552366,High,32.50572929182965,142.0,High,Increasing,23.29415009672492
India,Uttar Pradesh,Lucknow,Block-3,Lucknow-Area-2,Town,22.2861,89.4216,988,Child Vaccination,Vaccine,0,5,490,200,290,40.816326530612244,59.183673469387756,High,41.453376851619375,8.0,Critical,Increasing,29.616642157741833
India,Uttar Pradesh,Lucknow,Block-3,Lucknow-Area-2,Town,22.2861,89.4216,988,TB Screening,Screening,18,80,330,275,55,83.33333333333334,16.666666666666664,Low,11.691472089714619,496.0,Low,Decreasing,8.358138756381287
India,Uttar Pradesh,Lucknow,Block-3,Lucknow-Area-2,Town,22.2861,89.4216,988,Diabetes Screening,Screening,30,80,335,197,138,58.805970149253724,41.19402985074627,High,28.86062631857034,208.0,High,Increasing,20.62182034842109
India,Uttar Pradesh,Lucknow,Block-4,Lucknow-Area-3,Ward,27.4595,83.6342,9597,Child Vaccination,Vaccine,0,5,4089,3283,806,80.28857911469797,19.71142088530203,Low,14.038943653103335,459.0,Low,Increasing,10.09665947604293
India,Uttar Pradesh,Lucknow,Block-4,Lucknow-Area-3,Ward,27.4595,83.6342,9597,TB Screening,Screening,18,80,5275,3932,1343,74.54028436018957,25.459715639810426,Medium,18.062749981259213,387.0,Medium,Stable,12.970806853297129
India,Uttar Pradesh,Lucknow,Block-4,Lucknow-Area-3,Ward,27.4595,83.6342,9597,Diabetes Screening,Screening,30,80,3808,3139,669,82.43172268907563,17.56827731092437,Low,12.538743151038974,482.0,Low,Increasing,9.0250876888541
India,Uttar Pradesh,Lucknow,Block-5,Lucknow-Area-4,Town,28.7522,76.8035,5608,Child Vaccination,Vaccine,0,5,1651,1327,324,80.3755299818292,19.624470018170808,Low,13.877927405890542,462.0,Low,Decreasing,9.95303340225638
India,Uttar Pradesh,Lucknow,Block-5,Lucknow-Area-4,Town,28.7522,76.8035,5608,TB Screening,Screening,18,80,2308,1345,963,58.27556325823223,41.72443674176776,High,29.347904112408404,200.0,High,Increasing,21.003016764054856
India,Uttar Pradesh,Lucknow,Block-5,Lucknow-Area-4,Town,28.7522,76.8035,5608,Diabetes Screening,Screening,30,80,1982,841,1141,42.43188698284561,57.56811301715439,High,40.438477505179044,24.0,Critical,Decreasing,28.92485490174817
India,Uttar Pradesh,Lucknow,Block-1,Lucknow-Area-5,Town,12.2703,70.0649,5115,Child Vaccination,Vaccine,0,5,2125,1488,637,70.02352941176471,29.976470588235294,Medium,21.111950200115192,339.0,Medium,Decreasing,15.116656082468136
India,Uttar Pradesh,Lucknow,Block-1,Lucknow-Area-5,Town,12.2703,70.0649,5115,TB Screening,Screening,18,80,2112,1789,323,84.70643939393939,15.293560606060606,Low,10.833913212592913,515.0,Low,Increasing,7.775201091380793
India,Uttar Pradesh,Lucknow,Block-1,Lucknow-Area-5,Town,12.2703,70.0649,5115,Diabetes Screening,Screening,30,80,1977,981,996,49.6206373292868,50.3793626707132,High,35.393974657849725,106.0,High,Increasing,25.31810212370709
India,Uttar Pradesh,Lucknow,Block-2,Lucknow-Area-6,Ward,28.573,80.1536,2543,Child Vaccination,Vaccine,0,5,881,729,152,82.74687854710557,17.253121452894437,Low,12.141031364000748,490.0,Low,Decreasing,8.690407073421861
India,Uttar Pradesh,Lucknow,Block-2,Lucknow-Area-6,Ward,28.573,80.1536,2543,TB Screening,Screening,18,80,779,510,269,65.46854942233634,34.53145057766367,Medium,24.23586175133921,277.0,Medium,Decreasing,17.329571635806477
India,Uttar Pradesh,Lucknow,Block-2,Lucknow-Area-6,Ward,28.573,80.1536,2543,Diabetes Screening,Screening,30,80,1167,913,254,78.23479005998286,21.765209940017137,Medium,15.299493304986637,436.0,Low,Increasing,10.946451316983211
India,Uttar Pradesh,Lucknow,Block-3,Lucknow-Area-7,Ward,16.058,82.779,10777,Child Vaccination,Vaccine,0,5,4542,3394,1148,74.7247908410392,25.27520915896081,Medium,17.963221354782483,390.0,Medium,Increasing,12.908179522990322
India,Uttar Pradesh,Lucknow,Block-3,Lucknow-Area-7,Ward,16.058,82.779,10777,TB Screening,Screening,18,80,3449,2918,531,84.60423311104668,15.395766888953318,Low,11.047611765777239,511.0,Low,Increasing,7.968458387986576
India,Uttar Pradesh,Lucknow,Block-3,Lucknow-Area-7,Ward,16.058,82.779,10777,Diabetes Screening,Screening,30,80,5201,2260,2941,43.45318208036916,56.54681791963084,High,39.8533474872515,32.0,Critical,Decreasing,28.543983903325337
India,Uttar Pradesh,Lucknow,Block-4,Lucknow-Area-8,Village,12.1267,85.2502,9637,Child Vaccination,Vaccine,0,5,2535,2096,439,82.68244575936883,17.317554240631164,Low,12.364241269973324,488.0,Low,Increasing,8.900730421847092
India,Uttar Pradesh,Lucknow,Block-4,Lucknow-Area-8,Village,12.1267,85.2502,9637,TB Screening,Screening,18,80,4562,2973,1589,65.16878562034195,34.83121437965804,Medium,24.623803367292137,268.0,Medium,Increasing,17.65756049136053
India,Uttar Pradesh,Lucknow,Block-4,Lucknow-Area-8,Village,12.1267,85.2502,9637,Diabetes Screening,Screening,30,80,4448,2497,1951,56.13758992805755,43.86241007194245,High,30.94564035189122,168.0,High,Increasing,22.173158337502734
India,Uttar Pradesh,Lucknow,Block-5,Lucknow-Area-9,Ward,32.7993,81.9789,8805,Child Vaccination,Vaccine,0,5,4344,1842,2502,42.40331491712707,57.59668508287292,High,40.53874408223901,22.0,Critical,Increasing,29.01940706566443
India,Uttar Pradesh,Lucknow,Block-5,Lucknow-Area-9,Ward,32.7993,81.9789,8805,TB Screening,Screening,18,80,3221,1641,1580,50.94691089723688,49.05308910276312,High,34.55822689616215,114.0,High,Increasing,24.747609075609528
India,Uttar Pradesh,Lucknow,Block-5,Lucknow-Area-9,Ward,32.7993,81.9789,8805,Diabetes Screening,Screening,30,80,3954,1672,2282,42.28629236216489,57.7137076378351,High,40.62065987071254,20.0,Critical,Increasing,29.07791834314552
India,Uttar Pradesh,Lucknow,Block-1,Lucknow-Area-10,Village,11.0204,77.2596,5838,Child Vaccination,Vaccine,0,5,2896,2645,251,91.3328729281768,8.667127071823204,Low,6.213561885249881,582.0,Low,Increasing,4.48013647088524
