location_id,scheme_name,eligible_population,reporting_period
24,TB Screening,2250,2025-Q4
24,Diabetes Screening,1948,2025-Q4
25,Child Vaccination,3445,2025-Q4
25,TB Screening,5192,2025-Q4
25,Diabetes Screening,5645,2025-Q4
26,Child Vaccination,1419,2025-Q4
26,TB Screening,1824,2025-Q4
26,Diabetes Screening,1603,2025-Q4
27,Child Vaccination,827,2025-Q4
27,TB Screening,632,2025-Q4
27,Diabetes Screening,807,2025-Q4
28,Child Vaccination,6084,2025-Q4
28,TB Screening,3977,2025-Q4
28,Diabetes Screening,5819,2025-Q4
29,Child Vaccination,3955,2025-Q4
29,TB Screening,5601,2025-Q4
29,Diabetes Screening,4249,2025-Q4
30,Child Vaccination,490,2025-Q4
30,TB Screening,330,2025-Q4
30,Diabetes Screening,335,2025-Q4
31,Child Vaccination,4089,2025-Q4
31,TB Screening,5275,2025-Q4
31,Diabetes Screening,3808,2025-Q4
32,Child Vaccination,1651,2025-Q4
32,TB Screening,2308,2025-Q4
32,Diabetes Screening,1982,2025-Q4
33,Child Vaccination,2125,2025-Q4
33,TB Screening,2112,2025-Q4
33,Diabetes Screening,1977,2025-Q4
34,Child Vaccination,881,2025-Q4
34,TB Screening,779,2025-Q4
34,Diabetes Screening,1167,2025-Q4
35,Child Vaccination,4542,2025-Q4
35,TB Screening,3449,2025-Q4
35,Diabetes Screening,5201,2025-Q4
36,Child Vaccination,2535,2025-Q4
36,TB Screening,4562,2025-Q4
36,Diabetes Screening,4448,2025-Q4
37,Child Vaccination,4344,2025-Q4
37,TB Screening,3221,2025-Q4
37,Diabetes Screening,3954,2025-Q4
38,Child Vaccination,2896,2025-Q4
38,TB Screening,3177,2025-Q4
38,Diabetes Screening,2327,2025-Q4
39,Child Vaccination,545,2025-Q4
39,TB Screening,837,2025-Q4
39,Diabetes Screening,892,2025-Q4
40,Child Vaccination,4867,2025-Q4
40,TB Screening,4880,2025-Q4
40,Diabetes Screening,3640,2025-Q4
41,Child Vaccination,3999,2025-Q4
41,TB Screening,3796,2025-Q4
41,Diabetes Screening,4577,2025-Q4
42,Child Vaccination,2883,2025-Q4
42,TB Screening,3451,2025-Q4
42,Diabetes Screening,2291,2025-Q4
43,Child Vaccination,1600,2025-Q4
43,TB Screening,2214,2025-Q4
43,Diabetes Screening,1439,2025-Q4
44,Child Vaccination,5240,2025-Q4
44,TB Screening,5093,2025-Q4
44,Diabetes Screening,5786,2025-Q4
45,Child Vaccination,1406,2025-Q4
45,TB Screening,1412,2025-Q4
45,Diabetes Screening,1012,2025-Q4
46,Child Vaccination,3601,2025-Q4
46,TB Screening,4860,2025-Q4
46,Diabetes Screening,4987,2025-Q4
47,Child Vaccination,1004,2025-Q4
47,TB Screening,511,2025-Q4
47,Diabetes Screening,531,2025-Q4
48,Child Vaccination,577,2025-Q4
48,TB Screening,691,2025-Q4
48,Diabetes Screening,721,2025-Q4
49,Child Vaccination,5574,2025-Q4
49,TB Screening,4471,2025-Q4
49,Diabetes Screening,3287,2025-Q4
50,Child Vaccination,4469,2025-Q4
50,TB Screening,5197,2025-Q4
50,Diabetes Screening,3890,2025-Q4
51,Child Vaccination,3422,2025-Q4
51,TB Screening,3891,2025-Q4
51,Diabetes Screening,1970,2025-Q4
52,Child Vaccination,3228,2025-Q4
52,TB Screening,2232,2025-Q4
52,Diabetes Screening,2393,2025-Q4
53,Child Vaccination,495,2025-Q4
53,TB Screening,690,2025-Q4
53,Diabetes Screening,708,2025-Q4
54,Child Vaccination,874,2025-Q4
54,TB Screening,539,2025-Q4
54,Diabetes Screening,490,2025-Q4
55,Child Vaccination,1324,2025-Q4
55,TB Screening,1129,2025-Q4
55,Diabetes Screening,834,2025-Q4
56,Child Vaccination,1621,2025-Q4
56,TB Screening,906,2025-Q4
56,Diabetes Screening,1202,2025-Q4
57,Child Vaccination,663,2025-Q4
57,TB Screening,664,2025-Q4
57,Diabetes Screening,514,2025-Q4
58,Child Vaccination,1181,2025-Q4
58,TB Screening,1250,2025-Q4
58,Diabetes Screening,1089,2025-Q4
59,Child Vaccination,309,2025-Q4
59,TB Screening,398,2025-Q4
59,Diabetes Screening,368,2025-Q4
60,Child Vaccination,1502,2025-Q4
60,TB Screening,1556,2025-Q4
60,Diabetes Screening,1329,2025-Q4
61,Child Vaccination,2395,2025-Q4
61,TB Screening,3711,2025-Q4
61,Diabetes Screening,2282,2025-Q4
62,Child Vaccination,2629,2025-Q4
62,TB Screening,2842,2025-Q4
62,Diabetes Screening,2311,2025-Q4
63,Child Vaccination,2307,2025-Q4
63,TB Screening,2312,2025-Q4
63,Diabetes Screening,2998,2025-Q4
64,Child Vaccination,3353,2025-Q4
64,TB Screening,5382,2025-Q4
64,Diabetes Screening,4432,2025-Q4
65,Child Vaccination,1881,2025-Q4
65,TB Screening,2376,2025-Q4
65,Diabetes Screening,2579,2025-Q4
66,Child Vaccination,4583,2025-Q4
66,TB Screening,2563,2025-Q4
66,Diabetes Screening,4182,2025-Q4
67,Child Vaccination,4138,2025-Q4
67,TB Screening,5405,2025-Q4
67,Diabetes Screening,3483,2025-Q4
68,Child Vaccination,1654,2025-Q4
68,TB Screening,1460,2025-Q4
68,Diabetes Screening,1201,2025-Q4
69,Child Vaccination,1695,2025-Q4
69,TB Screening,1677,2025-Q4
69,Diabetes Screening,1742,2025-Q4
70,Child Vaccination,2169,2025-Q4
70,TB Screening,2083,2025-Q4
70,Diabetes Screening,2333,2025-Q4
71,Child Vaccination,2119,2025-Q4
71,TB Screening,2518,2025-Q4
71,Diabetes Screening,2145,2025-Q4
72,Child Vaccination,2627,2025-Q4
72,TB Screening,2931,2025-Q4
72,Diabetes Screening,3250,2025-Q4
73,Child Vaccination,2382,2025-Q4
73,TB Screening,1405,2025-Q4
73,Diabetes Screening,1717,2025-Q4
74,Child Vaccination,2442,2025-Q4
74,TB Screening,1559,2025-Q4
74,Diabetes Screening,1491,2025-Q4
75,Child Vaccination,3414,2025-Q4
75,TB Screening,4489,2025-Q4
75,Diabetes Screening,3393,2025-Q4
76,Child Vaccination,498,2025-Q4
76,TB Screening,475,2025-Q4
76,Diabetes Screening,311,2025-Q4
77,Child Vaccination,1212,2025-Q4
77,TB Screening,961,2025-Q4
77,Diabetes Screening,1199,2025-Q4
78,Child Vaccination,1407,2025-Q4
78,TB Screening,1044,2025-Q4
78,Diabetes Screening,845,2025-Q4
79,Child Vaccination,3693,2025-Q4
79,TB Screening,2002,2025-Q4
79,Diabetes Screening,3700,2025-Q4
80,Child Vaccination,2924,2025-Q4
80,TB Screening,2689,2025-Q4
80,Diabetes Screening,3131,2025-Q4
81,Child Vaccination,5113,2025-Q4
81,TB Screening,4651,2025-Q4
81,Diabetes Screening,3405,2025-Q4
82,Child Vaccination,5684,2025-Q4
82,TB Screening,2965,2025-Q4
82,Diabetes Screening,4795,2025-Q4
83,Child Vaccination,1039,2025-Q4
83,TB Screening,1215,2025-Q4
83,Diabetes Screening,1215,2025-Q4
84,Child Vaccination,2303,2025-Q4
84,TB Screening,2690,2025-Q4
84,Diabetes Screening,2881,2025-Q4
85,Child Vaccination,3161,2025-Q4
85,TB Screening,3582,2025-Q4
85,Diabetes Screening,2881,2025-Q4
86,Child Vaccination,840,2025-Q4
86,TB Screening,682,2025-Q4
86,Diabetes Screening,856,2025-Q4
87,Child Vaccination,481,2025-Q4
87,TB Screening,409,2025-Q4
87,Diabetes Screening,756,2025-Q4
88,Child Vaccination,2661,2025-Q4
88,TB Screening,1734,2025-Q4
88,Diabetes Screening,1896,2025-Q4
89,Child Vaccination,2279,2025-Q4
89,TB Screening,4167,2025-Q4
89,Diabetes Screening,2664,2025-Q4
90,Child Vaccination,1289,2025-Q4
90,TB Screening,905,2025-Q4
90,Diabetes Screening,1673,2025-Q4
91,Child Vaccination,2863,2025-Q4
91,TB Screening,3803,2025-Q4
91,Diabetes Screening,4444,2025-Q4
92,Child Vaccination,3203,2025-Q4
92,TB Screening,3615,2025-Q4
92,Diabetes Screening,2545,2025-Q4
93,Child Vaccination,2310,2025-Q4
93,TB Screening,1448,2025-Q4
93,Diabetes Screening,1830,2025-Q4
94,Child Vaccination,2086,2025-Q4
94,TB Screening,2959,2025-Q4
94,Diabetes Screening,2777,2025-Q4
95,Child Vaccination,2504,2025-Q4
95,TB Screening,1215,2025-Q4
95,Diabetes Screening,1689,2025-Q4
96,Child Vaccination,2893,2025-Q4
96,TB Screening,4043,2025-Q4
96,Diabetes Screening,3827,2025-Q4
97,Child Vaccination,2111,2025-Q4
97,TB Screening,3438,2025-Q4
97,Diabetes Screening,3118,2025-Q4
98,Child Vaccination,2809,2025-Q4
98,TB Screening,1849,2025-Q4
98,Diabetes Screening,1910,2025-Q4
99,Child Vaccination,440,2025-Q4
99,TB Screening,411,2025-Q4
99,Diabetes Screening,723,2025-Q4
100,Child Vaccination,3223,2025-Q4
100,TB Screening,3743,2025-Q4
100,Diabetes Screening,3690,2025-Q4
101,Child Vaccination,1943,2025-Q4
101,TB Screening,1161,2025-Q4
101,Diabetes Screening,2200,2025-Q4
102,Child Vaccination,1995,2025-Q4
102,TB Screening,1777,2025-Q4
102,Diabetes Screening,2590,2025-Q4
103,Child Vaccination,1453,2025-Q4
103,TB Screening,2576,2025-Q4
103,Diabetes Screening,1677,2025-Q4
104,Child Vaccination,3017,2025-Q4
104,TB Screening,4897,2025-Q4
104,Diabetes Screening,3341,2025-Q4
105,Child Vaccination,1494,2025-Q4
105,TB Screening,2641,2025-Q4
105,Diabetes Screening,1274,2025-Q4
106,Child Vaccination,723,2025-Q4
106,TB Screening,418,2025-Q4
106,Diabetes Screening,412,2025-Q4
107,Child Vaccination,1931,2025-Q4
107,TB Screening,1795,2025-Q4
107,Diabetes Screening,2662,2025-Q4
108,Child Vaccination,1832,2025-Q4
108,TB Screening,1809,2025-Q4
108,Diabetes Screening,3463,2025-Q4
109,Child Vaccination,2553,2025-Q4
109,TB Screening,2757,2025-Q4
109,Diabetes Screening,2401,2025-Q4
110,Child Vaccination,3132,2025-Q4
110,TB Screening,5569,2025-Q4
110,Diabetes Screening,4807,2025-Q4
111,Child Vaccination,5533,2025-Q4
111,TB Screening,4589,2025-Q4
111,Diabetes Screening,5647,2025-Q4
112,Child Vaccination,1147,2025-Q4
112,TB Screening,803,2025-Q4
112,Diabetes Screening,1139,2025-Q4
113,Child Vaccination,6257,2025-Q4
113,TB Screening,3084,2025-Q4
113,Diabetes Screening,5686,2025-Q4
114,Child Vaccination,5041,2025-Q4
114,TB Screening,4016,2025-Q4
114,Diabetes Screening,3828,2025-Q4
115,Child Vaccination,3780,2025-Q4
115,TB Screening,1880,2025-Q4
115,Diabetes Screening,2760,2025-Q4
116,Child Vaccination,3750,2025-Q4
116,TB Screening,4614,2025-Q4
116,Diabetes Screening,4020,2025-Q4
117,Child Vaccination,3021,2025-Q4
117,TB Screening,1571,2025-Q4
117,Diabetes Screening,1584,2025-Q4
118,Child Vaccination,4644,2025-Q4
118,TB Screening,2896,2025-Q4
118,Diabetes Screening,3570,2025-Q4
119,Child Vaccination,5221,2025-Q4
119,TB Screening,4919,2025-Q4
119,Diabetes Screening,4125,2025-Q4
120,Child Vaccination,1963,2025-Q4
120,TB Screening,1464,2025-Q4
120,Diabetes Screening,1382,2025-Q4
121,Child Vaccination,4821,2025-Q4
121,TB Screening,3124,2025-Q4
121,Diabetes Screening,5144,2025-Q4
122,Child Vaccination,2351,2025-Q4
122,TB Screening,2069,2025-Q4
122,Diabetes Screening,2234,2025-Q4
123,Child Vaccination,1498,2025-Q4
123,TB Screening,1010,2025-Q4
123,Diabetes Screening,1238,2025-Q4
124,Child Vaccination,3445,2025-Q4
124,TB Screening,3803,2025-Q4
124,Diabetes Screening,4175,2025-Q4
125,Child Vaccination,3834,2025-Q4
125,TB Screening,2849,2025-Q4
125,Diabetes Screening,3867,2025-Q4
126,Child Vaccination,3302,2025-Q4
126,TB Screening,2661,2025-Q4
126,Diabetes Screening,2173,2025-Q4
127,Child Vaccination,1341,2025-Q4
127,TB Screening,687,2025-Q4
127,Diabetes Screening,1271,2025-Q4
128,Child Vaccination,2581,2025-Q4
128,TB Screening,2590,2025-Q4
128,Diabetes Screening,4379,2025-Q4
129,Child Vaccination,1375,2025-Q4
129,TB Screening,1162,2025-Q4
129,Diabetes Screening,1187,2025-Q4
130,Child Vaccination,3976,2025-Q4
130,TB Screening,3315,2025-Q4
130,Diabetes Screening,2723,2025-Q4
131,Child Vaccination,2866,2025-Q4
131,TB Screening,3619,2025-Q4
131,Diabetes Screening,3824,2025-Q4
132,Child Vaccination,3976,2025-Q4
132,TB Screening,3633,2025-Q4
132,Diabetes Screening,4211,2025-Q4
133,Child Vaccination,3689,2025-Q4
133,TB Screening,3049,2025-Q4
133,Diabetes Screening,3631,2025-Q4
134,Child Vaccination,3529,2025-Q4
134,TB Screening,5027,2025-Q4
134,Diabetes Screening,3568,2025-Q4
135,Child Vaccination,3126,2025-Q4
135,TB Screening,5573,2025-Q4
135,Diabetes Screening,3987,2025-Q4
136,Child Vaccination,2624,2025-Q4
136,TB Screening,2314,2025-Q4
136,Diabetes Screening,2697,2025-Q4
137,Child Vaccination,4858,2025-Q4
137,TB Screening,5233,2025-Q4
137,Diabetes Screening,4781,2025-Q4
138,Child Vaccination,1433,2025-Q4
138,TB Screening,1462,2025-Q4
138,Diabetes Screening,851,2025-Q4
139,Child Vaccination,3289,2025-Q4
139,TB Screening,3103,2025-Q4
139,Diabetes Screening,2054,2025-Q4
140,Child Vaccination,2336,2025-Q4
140,TB Screening,3540,2025-Q4
140,Diabetes Screening,2632,2025-Q4
141,Child Vaccination,394,2025-Q4
141,TB Screening,282,2025-Q4
141,Diabetes Screening,572,2025-Q4
142,Child Vaccination,2755,2025-Q4
142,TB Screening,2429,2025-Q4
142,Diabetes Screening,1920,2025-Q4
143,Child Vaccination,3372,2025-Q4
143,TB Screening,1986,2025-Q4
143,Diabetes Screening,3631,2025-Q4
144,Child Vaccination,3360,2025-Q4
144,TB Screening,4016,2025-Q4
144,Diabetes Screening,3763,2025-Q4
145,Child Vaccination,3161,2025-Q4
145,TB Screening,4084,2025-Q4
145,Diabetes Screening,4229,2025-Q4
146,Child Vaccination,3120,2025-Q4
146,TB Screening,2045,2025-Q4
146,Diabetes Screening,1973,2025-Q4
147,Child Vaccination,859,2025-Q4
147,TB Screening,1258,2025-Q4
147,Diabetes Screening,1307,2025-Q4
148,Child Vaccination,3481,2025-Q4
148,TB Screening,4708,2025-Q4
148,Diabetes Screening,4153,2025-Q4
149,Child Vaccination,2992,2025-Q4
149,TB Screening,2596,2025-Q4
149,Diabetes Screening,3727,2025-Q4
150,Child Vaccination,1438,2025-Q4
150,TB Screening,1918,2025-Q4
150,Diabetes Screening,1695,2025-Q4
151,Child Vaccination,2870,2025-Q4
151,TB Screening,2506,2025-Q4
151,Diabetes Screening,2848,2025-Q4
152,Child Vaccination,2031,2025-Q4
152,TB Screening,2840,2025-Q4
152,Diabetes Screening,3312,2025-Q4
153,Child Vaccination,2431,2025-Q4
153,TB Screening,3280,2025-Q4
153,Diabetes Screening,3019,2025-Q4
154,Child Vaccination,3334,2025-Q4
154,TB Screening,3740,2025-Q4
154,Diabetes Screening,3989,2025-Q4
155,Child Vaccination,330,2025-Q4
155,TB Screening,620,2025-Q4
155,Diabetes Screening,395,2025-Q4
156,Child Vaccination,1199,2025-Q4
156,TB Screening,1519,2025-Q4
156,Diabetes Screening,1318,2025-Q4
157,Child Vaccination,5020,2025-Q4
157,TB Screening,4938,2025-Q4
157,Diabetes Screening,2727,2025-Q4
158,Child Vaccination,3479,2025-Q4
158,TB Screening,1797,2025-Q4
158,Diabetes Screening,1749,2025-Q4
159,Child Vaccination,1408,2025-Q4
159,TB Screening,1361,2025-Q4
159,Diabetes Screening,1131,2025-Q4
160,Child Vaccination,514,2025-Q4
160,TB Screening,564,2025-Q4
160,Diabetes Screening,457,2025-Q4
161,Child Vaccination,1977,2025-Q4
161,TB Screening,1780,2025-Q4
161,Diabetes Screening,2414,2025-Q4
162,Child Vaccination,5149,2025-Q4
162,TB Screening,4572,2025-Q4
162,Diabetes Screening,5245,2025-Q4
163,Child Vaccination,3019,2025-Q4
163,TB Screening,1587,2025-Q4
163,Diabetes Screening,2889,2025-Q4
164,Child Vaccination,3253,2025-Q4
164,TB Screening,4297,2025-Q4
164,Diabetes Screening,4101,2025-Q4
165,Child Vaccination,2533,2025-Q4
165,TB Screening,2357,2025-Q4
165,Diabetes Screening,2417,2025-Q4
166,Child Vaccination,2688,2025-Q4
166,TB Screening,2307,2025-Q4
166,Diabetes Screening,3096,2025-Q4
167,Child Vaccination,3186,2025-Q4
167,TB Screening,4518,2025-Q4
167,Diabetes Screening,5850,2025-Q4
168,Child Vaccination,3316,2025-Q4
168,TB Screening,4376,2025-Q4
168,Diabetes Screening,4633,2025-Q4
169,Child Vaccination,4755,2025-Q4
169,TB Screening,3085,2025-Q4
169,Diabetes Screening,2826,2025-Q4
170,Child Vaccination,3248,2025-Q4
170,TB Screening,4525,2025-Q4
170,Diabetes Screening,5023,2025-Q4
171,Child Vaccination,991,2025-Q4
171,TB Screening,672,2025-Q4
171,Diabetes Screening,1069,2025-Q4
172,Child Vaccination,3350,2025-Q4
172,TB Screening,4007,2025-Q4
172,Diabetes Screening,4021,2025-Q4
173,Child Vaccination,488,2025-Q4
173,TB Screening,669,2025-Q4
173,Diabetes Screening,532,2025-Q4
174,Child Vaccination,1883,2025-Q4
174,TB Screening,1869,2025-Q4
174,Diabetes Screening,2177,2025-Q4
175,Child Vaccination,4630,2025-Q4
175,TB Screening,3120,2025-Q4
175,Diabetes Screening,2858,2025-Q4
176,Child Vaccination,3544,2025-Q4
176,TB Screening,3157,2025-Q4
176,Diabetes Screening,3079,2025-Q4
177,Child Vaccination,2349,2025-Q4
177,TB Screening,3540,2025-Q4
177,Diabetes Screening,3020,2025-Q4
178,Child Vaccination,4388,2025-Q4
178,TB Screening,3039,2025-Q4
178,Diabetes Screening,5685,2025-Q4
179,Child Vaccination,634,2025-Q4
179,TB Screening,1183,2025-Q4
179,Diabetes Screening,1177,2025-Q4
180,Child Vaccination,2527,2025-Q4
180,TB Screening,2338,2025-Q4
180,Diabetes Screening,2261,2025-Q4
181,Child Vaccination,3953,2025-Q4
181,TB Screening,4630,2025-Q4
181,Diabetes Screening,4927,2025-Q4
182,Child Vaccination,2393,2025-Q4
182,TB Screening,3065,2025-Q4
182,Diabetes Screening,2770,2025-Q4
183,Child Vaccination,1703,2025-Q4
183,TB Screening,1931,2025-Q4
183,Diabetes Screening,1452,2025-Q4
184,Child Vaccination,740,2025-Q4
184,TB Screening,775,2025-Q4
184,Diabetes Screening,1433,2025-Q4
185,Child Vaccination,1353,2025-Q4
185,TB Screening,1779,2025-Q4
185,Diabetes Screening,1538,2025-Q4
186,Child Vaccination,3156,2025-Q4
186,TB Screening,3392,2025-Q4
186,Diabetes Screening,3988,2025-Q4
187,Child Vaccination,1519,2025-Q4
187,TB Screening,1619,2025-Q4
187,Diabetes Screening,1184,2025-Q4
188,Child Vaccination,373,2025-Q4
188,TB Screening,345,2025-Q4
188,Diabetes Screening,384,2025-Q4
189,Child Vaccination,595,2025-Q4
189,TB Screening,726,2025-Q4
189,Diabetes Screening,824,2025-Q4
190,Child Vaccination,4997,2025-Q4
190,TB Screening,3034,2025-Q4
190,Diabetes Screening,3131,2025-Q4
191,Child Vaccination,2475,2025-Q4
191,TB Screening,1829,2025-Q4
191,Diabetes Screening,2549,2025-Q4
192,Child Vaccination,733,2025-Q4
192,TB Screening,856,2025-Q4
192,Diabetes Screening,840,2025-Q4
193,Child Vaccination,654,2025-Q4
193,TB Screening,794,2025-Q4
193,Diabetes Screening,546,2025-Q4
194,Child Vaccination,595,2025-Q4
194,TB Screening,906,2025-Q4
194,Diabetes Screening,771,2025-Q4
195,Child Vaccination,2123,2025-Q4
195,TB Screening,2475,2025-Q4
195,Diabetes Screening,3070,2025-Q4
196,Child Vaccination,2612,2025-Q4
196,TB Screening,2765,2025-Q4
196,Diabetes Screening,3713,2025-Q4
197,Child Vaccination,4623,2025-Q4
197,TB Screening,4222,2025-Q4
197,Diabetes Screening,4668,2025-Q4
198,Child Vaccination,4924,2025-Q4
198,TB Screening,4757,2025-Q4
198,Diabetes Screening,4259,2025-Q4
199,Child Vaccination,4787,2025-Q4
199,TB Screening,4067,2025-Q4
199,Diabetes Screening,3868,2025-Q4
200,Child Vaccination,3963,2025-Q4
200,TB Screening,3359,2025-Q4
200,Diabetes Screening,3471,2025-Q4
201,Child Vaccination,2526,2025-Q4
201,TB Screening,1872,2025-Q4
201,Diabetes Screening,1503,2025-Q4
202,Child Vaccination,2182,2025-Q4
202,TB Screening,2046,2025-Q4
202,Diabetes Screening,3771,2025-Q4
203,Child Vaccination,373,2025-Q4
203,TB Screening,642,2025-Q4
203,Diabetes Screening,667,2025-Q4
204,Child Vaccination,4243,2025-Q4
204,TB Screening,2152,2025-Q4
204,Diabetes Screening,2891,2025-Q4
205,Child Vaccination,5298,2025-Q4
205,TB Screening,3194,2025-Q4
205,Diabetes Screening,4007,2025-Q4
206,Child Vaccination,2319,2025-Q4
206,TB Screening,3877,2025-Q4
206,Diabetes Screening,3737,2025-Q4
207,Child Vaccination,2538,2025-Q4
207,TB Screening,1543,2025-Q4
207,Diabetes Screening,1964,2025-Q4
208,Child Vaccination,2179,2025-Q4
208,TB Screening,2644,2025-Q4
208,Diabetes Screening,1875,2025-Q4
209,Child Vaccination,2118,2025-Q4
209,TB Screening,1854,2025-Q4
209,Diabetes Screening,2623,2025-Q4
210,Child Vaccination,2844,2025-Q4
210,TB Screening,3033,2025-Q4
210,Diabetes Screening,2534,2025-Q4
