location_id,scheme_name,coverage_percent,missed_population,risk_level
23,Child Vaccination,40.88,1672,Critical
23,TB Screening,68.32,658,Medium
23,Diabetes Screening,53.3,1699,High
24,Child Vaccination,47.85,1008,High
24,TB Screening,63.6,819,Medium
24,Diabetes Screening,73.77,511,Medium
25,Child Vaccination,53.21,1612,High
25,TB Screening,62.9,1926,Medium
25,Diabetes Screening,76.53,1325,Low
26,Child Vaccination,44.68,785,Critical
26,TB Screening,93.59,117,Low
26,Diabetes Screening,43.67,903,Critical
27,Child Vaccination,68.92,257,Medium
27,TB Screening,67.88,203,Medium
27,Diabetes Screening,94.3,46,Low
28,Child Vaccination,70.46,1797,Medium
28,TB Screening,61.45,1533,Medium
28,Diabetes Screening,65.85,1987,Medium
29,Child Vaccination,74.94,991,Medium
29,TB Screening,93.95,339,Low
29,Diabetes Screening,53.94,1957,High
30,Child Vaccination,40.82,290,Critical
30,TB Screening,83.33,55,Low
30,Diabetes Screening,58.81,138,High
31,Child Vaccination,80.29,806,Low
31,TB Screening,74.54,1343,Medium
31,Diabetes Screening,82.43,669,Low
32,Child Vaccination,80.38,324,Low
32,TB Screening,58.28,963,High
32,Diabetes Screening,42.43,1141,Critical
33,Child Vaccination,70.02,637,Medium
33,TB Screening,84.71,323,Low
33,Diabetes Screening,49.62,996,High
34,Child Vaccination,82.75,152,Low
34,TB Screening,65.47,269,Medium
34,Diabetes Screening,78.23,254,Low
35,Child Vaccination,74.72,1148,Medium
35,TB Screening,84.6,531,Low
35,Diabetes Screening,43.45,2941,Critical
36,Child Vaccination,82.68,439,Low
36,TB Screening,65.17,1589,Medium
36,Diabetes Screening,56.14,1951,High
37,Child Vaccination,42.4,2502,Critical
37,TB Screening,50.95,1580,High
37,Diabetes Screening,42.29,2282,Critical
38,Child Vaccination,91.33,251,Low
38,TB Screening,68.33,1006,Medium
38,Diabetes Screening,94.37,131,Low
39,Child Vaccination,69.72,165,Medium
39,TB Screening,53.88,386,High
39,Diabetes Screening,81.39,166,Low
40,Child Vaccination,50.5,2409,High
40,TB Screening,59.63,1970,High
40,Diabetes Screening,82.94,621,Low
41,Child Vaccination,87.6,496,Low
41,TB Screening,58.25,1585,High
41,Diabetes Screening,46.84,2433,High
42,Child Vaccination,60.22,1147,Medium
42,TB Screening,88.9,383,Low
42,Diabetes Screening,80.88,438,Low
43,Child Vaccination,89.19,173,Low
43,TB Screening,61.25,858,Medium
43,Diabetes Screening,93.54,93,Low
44,Child Vaccination,67.29,1714,Medium
44,TB Screening,67.35,1663,Medium
44,Diabetes Screening,90.82,531,Low
45,Child Vaccination,68.49,443,Medium
45,TB Screening,83.99,226,Low
45,Diabetes Screening,79.94,203,Low
46,Child Vaccination,44.32,2005,Critical
46,TB Screening,73.13,1306,Medium
46,Diabetes Screening,85.22,737,Low
47,Child Vaccination,69.92,302,Medium
47,TB Screening,57.53,217,High
47,Diabetes Screening,44.26,296,Critical
48,Child Vaccination,76.26,137,Low
48,TB Screening,56.73,299,High
48,Diabetes Screening,73.09,194,Medium
49,Child Vaccination,63.42,2039,Medium
49,TB Screening,77.92,987,Low
49,Diabetes Screening,59.32,1337,High
50,Child Vaccination,42.31,2578,Critical
50,TB Screening,87.84,632,Low
50,Diabetes Screening,59.38,1580,High
51,Child Vaccination,94.89,175,Low
51,TB Screening,55.08,1748,High
51,Diabetes Screening,93.86,121,Low
52,Child Vaccination,92.13,254,Low
52,TB Screening,44.09,1248,Critical
52,Diabetes Screening,75.05,597,Low
53,Child Vaccination,59.8,199,High
53,TB Screening,84.06,110,Low
53,Diabetes Screening,77.26,161,Low
54,Child Vaccination,92.33,67,Low
54,TB Screening,47.68,282,High
54,Diabetes Screening,73.27,131,Medium
55,Child Vaccination,82.93,226,Low
55,TB Screening,41.9,656,Critical
55,Diabetes Screening,43.65,470,Critical
56,Child Vaccination,82.79,279,Low
56,TB Screening,60.04,362,Medium
56,Diabetes Screening,60.98,469,Medium
57,Child Vaccination,71.19,191,Medium
57,TB Screening,73.19,178,Medium
57,Diabetes Screening,77.24,117,Low
58,Child Vaccination,92.13,93,Low
58,TB Screening,60.4,495,Medium
58,Diabetes Screening,81.91,197,Low
59,Child Vaccination,71.52,88,Medium
59,TB Screening,69.1,123,Medium
59,Diabetes Screening,61.68,141,Medium
60,Child Vaccination,75.7,365,Low
60,TB Screening,53.73,720,High
60,Diabetes Screening,46.2,715,High
61,Child Vaccination,80.46,468,Low
61,TB Screening,67.42,1209,Medium
61,Diabetes Screening,61.26,884,Medium
62,Child Vaccination,70.86,766,Medium
62,TB Screening,54.36,1297,High
62,Diabetes Screening,54.31,1056,High
63,Child Vaccination,64.54,818,Medium
63,TB Screening,94.77,121,Low
63,Diabetes Screening,55.7,1328,High
64,Child Vaccination,90.4,322,Low
64,TB Screening,67.0,1776,Medium
64,Diabetes Screening,46.73,2361,High
65,Child Vaccination,86.87,247,Low
65,TB Screening,64.86,835,Medium
65,Diabetes Screening,89.41,273,Low
66,Child Vaccination,64.48,1628,Medium
66,TB Screening,44.79,1415,Critical
66,Diabetes Screening,77.5,941,Low
67,Child Vaccination,86.49,559,Low
67,TB Screening,57.58,2293,High
67,Diabetes Screening,59.09,1425,High
68,Child Vaccination,43.53,934,Critical
68,TB Screening,69.79,441,Medium
68,Diabetes Screening,89.01,132,Low
69,Child Vaccination,86.78,224,Low
69,TB Screening,79.13,350,Low
69,Diabetes Screening,90.99,157,Low
70,Child Vaccination,75.06,541,Low
70,TB Screening,83.63,341,Low
70,Diabetes Screening,67.98,747,Medium
71,Child Vaccination,46.67,1130,High
71,TB Screening,51.03,1233,High
71,Diabetes Screening,47.6,1124,High
72,Child Vaccination,83.44,435,Low
72,TB Screening,41.42,1717,Critical
72,Diabetes Screening,70.46,960,Medium
73,Child Vaccination,60.29,946,Medium
73,TB Screening,84.2,222,Low
73,Diabetes Screening,70.3,510,Medium
74,Child Vaccination,73.63,644,Medium
74,TB Screening,44.71,862,Critical
74,Diabetes Screening,57.01,641,High
75,Child Vaccination,94.96,172,Low
75,TB Screening,79.53,919,Low
75,Diabetes Screening,68.91,1055,Medium
76,Child Vaccination,82.13,89,Low
76,TB Screening,85.26,70,Low
76,Diabetes Screening,44.05,174,Critical
77,Child Vaccination,93.4,80,Low
77,TB Screening,75.23,238,Low
77,Diabetes Screening,64.72,423,Medium
78,Child Vaccination,77.4,318,Low
78,TB Screening,58.91,429,High
78,Diabetes Screening,88.28,99,Low
79,Child Vaccination,82.91,631,Low
79,TB Screening,75.17,497,Low
79,Diabetes Screening,50.0,1850,High
80,Child Vaccination,93.13,201,Low
80,TB Screening,63.78,974,Medium
80,Diabetes Screening,90.07,311,Low
81,Child Vaccination,43.05,2912,Critical
81,TB Screening,46.83,2473,High
81,Diabetes Screening,48.4,1757,High
82,Child Vaccination,49.05,2896,High
82,TB Screening,57.74,1253,High
82,Diabetes Screening,79.0,1007,Low
83,Child Vaccination,59.0,426,High
83,TB Screening,91.69,101,Low
83,Diabetes Screening,89.22,131,Low
84,Child Vaccination,86.5,311,Low
84,TB Screening,53.75,1244,High
84,Diabetes Screening,74.9,723,Medium
85,Child Vaccination,70.29,939,Medium
85,TB Screening,46.87,1903,High
85,Diabetes Screening,56.65,1249,High
86,Child Vaccination,69.29,258,Medium
86,TB Screening,67.6,221,Medium
86,Diabetes Screening,49.18,435,High
87,Child Vaccination,91.68,40,Low
87,TB Screening,48.41,211,High
87,Diabetes Screening,76.19,180,Low
88,Child Vaccination,79.63,542,Low
88,TB Screening,73.24,464,Medium
88,Diabetes Screening,86.29,260,Low
89,Child Vaccination,71.0,661,Medium
89,TB Screening,85.39,609,Low
89,Diabetes Screening,41.55,1557,Critical
90,Child Vaccination,42.44,742,Critical
90,TB Screening,75.25,224,Low
90,Diabetes Screening,71.67,474,Medium
91,Child Vaccination,75.79,693,Low
91,TB Screening,82.17,678,Low
91,Diabetes Screening,62.89,1649,Medium
92,Child Vaccination,75.12,797,Low
92,TB Screening,67.39,1179,Medium
92,Diabetes Screening,74.46,650,Medium
93,Child Vaccination,55.93,1018,High
93,TB Screening,92.61,107,Low
93,Diabetes Screening,66.56,612,Medium
94,Child Vaccination,84.23,329,Low
94,TB Screening,77.66,661,Low
94,Diabetes Screening,56.36,1212,High
95,Child Vaccination,44.01,1402,Critical
95,TB Screening,43.29,689,Critical
95,Diabetes Screening,64.12,606,Medium
96,Child Vaccination,66.61,966,Medium
96,TB Screening,51.2,1973,High
96,Diabetes Screening,73.35,1020,Medium
97,Child Vaccination,57.18,904,High
97,TB Screening,79.49,705,Low
97,Diabetes Screening,80.37,612,Low
98,Child Vaccination,87.33,356,Low
98,TB Screening,93.62,118,Low
98,Diabetes Screening,47.17,1009,High
99,Child Vaccination,60.23,175,Medium
99,TB Screening,70.8,120,Medium
99,Diabetes Screening,57.54,307,High
100,Child Vaccination,65.65,1107,Medium
100,TB Screening,54.69,1696,High
100,Diabetes Screening,53.63,1711,High
101,Child Vaccination,45.29,1063,High
101,TB Screening,55.9,512,High
101,Diabetes Screening,61.09,856,Medium
102,Child Vaccination,73.83,522,Medium
102,TB Screening,53.63,824,High
102,Diabetes Screening,87.57,322,Low
103,Child Vaccination,48.73,745,High
103,TB Screening,58.0,1082,High
103,Diabetes Screening,71.74,474,Medium
104,Child Vaccination,57.18,1292,High
104,TB Screening,81.97,883,Low
104,Diabetes Screening,67.38,1090,Medium
105,Child Vaccination,68.27,474,Medium
105,TB Screening,67.4,861,Medium
105,Diabetes Screening,56.91,549,High
106,Child Vaccination,41.22,425,Critical
106,TB Screening,91.87,34,Low
106,Diabetes Screening,67.72,133,Medium
107,Child Vaccination,93.16,132,Low
107,TB Screening,51.81,865,High
107,Diabetes Screening,59.39,1081,High
108,Child Vaccination,42.74,1049,Critical
108,TB Screening,67.16,594,Medium
108,Diabetes Screening,88.51,398,Low
109,Child Vaccination,75.95,614,Low
109,TB Screening,65.87,941,Medium
109,Diabetes Screening,69.51,732,Medium
110,Child Vaccination,86.59,420,Low
110,TB Screening,63.69,2022,Medium
110,Diabetes Screening,88.52,552,Low
111,Child Vaccination,80.01,1106,Low
111,TB Screening,82.0,826,Low
111,Diabetes Screening,60.12,2252,Medium
112,Child Vaccination,61.99,436,Medium
112,TB Screening,71.36,230,Medium
112,Diabetes Screening,50.66,562,High
113,Child Vaccination,70.42,1851,Medium
113,TB Screening,44.03,1726,Critical
113,Diabetes Screening,67.73,1835,Medium
114,Child Vaccination,82.03,906,Low
114,TB Screening,55.38,1792,High
114,Diabetes Screening,94.38,215,Low
115,Child Vaccination,77.41,854,Low
115,TB Screening,46.49,1006,High
115,Diabetes Screening,93.62,176,Low
116,Child Vaccination,61.65,1438,Medium
116,TB Screening,83.7,752,Low
116,Diabetes Screening,58.63,1663,High
117,Child Vaccination,91.63,253,Low
117,TB Screening,81.48,291,Low
117,Diabetes Screening,50.95,777,High
118,Child Vaccination,68.0,1486,Medium
118,TB Screening,67.47,942,Medium
118,Diabetes Screening,42.46,2054,Critical
119,Child Vaccination,47.52,2740,High
119,TB Screening,58.3,2051,High
119,Diabetes Screening,66.04,1401,Medium
120,Child Vaccination,65.1,685,Medium
120,TB Screening,73.29,391,Medium
120,Diabetes Screening,68.31,438,Medium
121,Child Vaccination,58.04,2023,High
121,TB Screening,73.69,822,Medium
121,Diabetes Screening,48.93,2627,High
122,Child Vaccination,94.47,130,Low
122,TB Screening,80.62,401,Low
122,Diabetes Screening,56.45,973,High
123,Child Vaccination,58.48,622,High
123,TB Screening,85.54,146,Low
123,Diabetes Screening,69.22,381,Medium
124,Child Vaccination,78.96,725,Low
124,TB Screening,56.48,1655,High
124,Diabetes Screening,84.86,632,Low
125,Child Vaccination,60.25,1524,Medium
125,TB Screening,77.04,654,Low
125,Diabetes Screening,93.87,237,Low
126,Child Vaccination,72.08,922,Medium
126,TB Screening,83.8,431,Low
126,Diabetes Screening,79.89,437,Low
127,Child Vaccination,77.78,298,Low
127,TB Screening,41.34,403,Critical
127,Diabetes Screening,66.09,431,Medium
128,Child Vaccination,93.18,176,Low
128,TB Screening,83.05,439,Low
128,Diabetes Screening,82.67,759,Low
129,Child Vaccination,71.71,389,Medium
129,TB Screening,79.6,237,Low
129,Diabetes Screening,72.03,332,Medium
130,Child Vaccination,49.37,2013,High
130,TB Screening,74.57,843,Medium
130,Diabetes Screening,74.07,706,Medium
131,Child Vaccination,86.25,394,Low
131,TB Screening,48.11,1878,High
131,Diabetes Screening,77.43,863,Low
132,Child Vaccination,41.73,2317,Critical
132,TB Screening,92.13,286,Low
132,Diabetes Screening,46.02,2273,High
133,Child Vaccination,41.04,2175,Critical
133,TB Screening,57.23,1304,High
133,Diabetes Screening,48.31,1877,High
134,Child Vaccination,77.95,778,Low
134,TB Screening,62.56,1882,Medium
134,Diabetes Screening,82.62,620,Low
135,Child Vaccination,90.63,293,Low
135,TB Screening,88.0,669,Low
135,Diabetes Screening,80.46,779,Low
136,Child Vaccination,43.41,1485,Critical
136,TB Screening,47.58,1213,High
136,Diabetes Screening,51.39,1311,High
137,Child Vaccination,57.86,2047,High
137,TB Screening,76.42,1234,Low
137,Diabetes Screening,68.9,1487,Medium
138,Child Vaccination,57.22,613,High
138,TB Screening,49.52,738,High
138,Diabetes Screening,90.13,84,Low
139,Child Vaccination,58.8,1355,High
139,TB Screening,59.46,1258,High
139,Diabetes Screening,82.42,361,Low
140,Child Vaccination,79.62,476,Low
140,TB Screening,75.37,872,Low
140,Diabetes Screening,78.12,576,Low
141,Child Vaccination,73.35,105,Medium
141,TB Screening,50.35,140,High
141,Diabetes Screening,53.5,266,High
142,Child Vaccination,70.67,808,Medium
142,TB Screening,52.37,1157,High
142,Diabetes Screening,93.49,125,Low
143,Child Vaccination,56.35,1472,High
143,TB Screening,55.89,876,High
143,Diabetes Screening,51.39,1765,High
144,Child Vaccination,78.75,714,Low
144,TB Screening,57.42,1710,High
144,Diabetes Screening,59.18,1536,High
145,Child Vaccination,91.33,274,Low
145,TB Screening,83.74,664,Low
145,Diabetes Screening,55.02,1902,High
146,Child Vaccination,46.7,1663,High
146,TB Screening,77.21,466,Low
146,Diabetes Screening,60.87,772,Medium
147,Child Vaccination,93.83,53,Low
147,TB Screening,84.98,189,Low
147,Diabetes Screening,92.5,98,Low
148,Child Vaccination,84.23,549,Low
148,TB Screening,55.97,2073,High
148,Diabetes Screening,55.82,1835,High
149,Child Vaccination,79.24,621,Low
149,TB Screening,59.01,1064,High
149,Diabetes Screening,64.31,1330,Medium
150,Child Vaccination,54.1,660,High
150,TB Screening,66.32,646,Medium
150,Diabetes Screening,51.09,829,High
151,Child Vaccination,69.62,872,Medium
151,TB Screening,91.3,218,Low
151,Diabetes Screening,78.27,619,Low
152,Child Vaccination,47.51,1066,High
152,TB Screening,73.84,743,Medium
152,Diabetes Screening,72.25,919,Medium
153,Child Vaccination,53.31,1135,High
153,TB Screening,76.83,760,Low
153,Diabetes Screening,69.2,930,Medium
154,Child Vaccination,75.07,831,Low
154,TB Screening,42.86,2137,Critical
154,Diabetes Screening,62.72,1487,Medium
155,Child Vaccination,79.39,68,Low
155,TB Screening,45.48,338,High
155,Diabetes Screening,82.28,70,Low
156,Child Vaccination,40.28,716,Critical
156,TB Screening,70.24,452,Medium
156,Diabetes Screening,91.05,118,Low
157,Child Vaccination,62.37,1889,Medium
157,TB Screening,91.41,424,Low
157,Diabetes Screening,88.3,319,Low
158,Child Vaccination,66.25,1174,Medium
158,TB Screening,50.92,882,High
158,Diabetes Screening,92.97,123,Low
159,Child Vaccination,57.6,597,High
159,TB Screening,75.46,334,Low
159,Diabetes Screening,89.92,114,Low
160,Child Vaccination,44.75,284,Critical
160,TB Screening,71.45,161,Medium
160,Diabetes Screening,69.37,140,Medium
161,Child Vaccination,79.77,400,Low
161,TB Screening,91.46,152,Low
161,Diabetes Screening,90.22,236,Low
162,Child Vaccination,49.62,2594,High
162,TB Screening,88.52,525,Low
162,Diabetes Screening,49.67,2640,High
163,Child Vaccination,90.56,285,Low
163,TB Screening,94.83,82,Low
163,Diabetes Screening,61.82,1103,Medium
164,Child Vaccination,67.23,1066,Medium
164,TB Screening,91.51,365,Low
164,Diabetes Screening,92.9,291,Low
165,Child Vaccination,90.92,230,Low
165,TB Screening,88.21,278,Low
165,Diabetes Screening,40.5,1438,Critical
166,Child Vaccination,71.21,774,Medium
166,TB Screening,45.86,1249,High
166,Diabetes Screening,94.06,184,Low
167,Child Vaccination,55.65,1413,High
167,TB Screening,94.4,253,Low
167,Diabetes Screening,69.88,1762,Medium
168,Child Vaccination,67.16,1089,Medium
168,TB Screening,91.61,367,Low
168,Diabetes Screening,86.79,612,Low
169,Child Vaccination,65.72,1630,Medium
169,TB Screening,50.6,1524,High
169,Diabetes Screening,46.18,1521,High
170,Child Vaccination,48.92,1659,High
170,TB Screening,65.24,1573,Medium
170,Diabetes Screening,54.13,2304,High
171,Child Vaccination,50.15,494,High
171,TB Screening,80.51,131,Low
171,Diabetes Screening,83.44,177,Low
172,Child Vaccination,71.22,964,Medium
172,TB Screening,81.63,736,Low
172,Diabetes Screening,49.64,2025,High
173,Child Vaccination,86.89,64,Low
173,TB Screening,89.24,72,Low
173,Diabetes Screening,85.34,78,Low
174,Child Vaccination,68.3,597,Medium
174,TB Screening,44.73,1033,Critical
174,Diabetes Screening,76.8,505,Low
175,Child Vaccination,50.15,2308,High
175,TB Screening,47.72,1631,High
175,Diabetes Screening,57.77,1207,High
176,Child Vaccination,53.64,1643,High
176,TB Screening,54.32,1442,High
176,Diabetes Screening,52.94,1449,High
177,Child Vaccination,81.44,436,Low
177,TB Screening,92.46,267,Low
177,Diabetes Screening,56.59,1311,High
178,Child Vaccination,79.74,889,Low
178,TB Screening,40.61,1805,Critical
178,Diabetes Screening,75.94,1368,Low
179,Child Vaccination,78.08,139,Low
179,TB Screening,43.36,670,Critical
179,Diabetes Screening,46.47,630,High
180,Child Vaccination,56.87,1090,High
180,TB Screening,62.28,882,Medium
180,Diabetes Screening,67.62,732,Medium
181,Child Vaccination,89.22,426,Low
181,TB Screening,78.68,987,Low
181,Diabetes Screening,57.09,2114,High
182,Child Vaccination,46.43,1282,High
182,TB Screening,90.38,295,Low
182,Diabetes Screening,56.21,1213,High
183,Child Vaccination,73.75,447,Medium
183,TB Screening,52.05,926,High
183,Diabetes Screening,47.31,765,High
184,Child Vaccination,48.38,382,High
184,TB Screening,81.03,147,Low
184,Diabetes Screening,73.27,383,Medium
185,Child Vaccination,62.82,503,Medium
185,TB Screening,70.15,531,Medium
185,Diabetes Screening,65.86,525,Medium
186,Child Vaccination,69.55,961,Medium
186,TB Screening,76.5,797,Low
186,Diabetes Screening,52.01,1914,High
187,Child Vaccination,53.59,705,High
187,TB Screening,81.47,300,Low
187,Diabetes Screening,88.01,142,Low
188,Child Vaccination,44.24,208,Critical
188,TB Screening,64.35,123,Medium
188,Diabetes Screening,78.65,82,Low
189,Child Vaccination,44.2,332,Critical
189,TB Screening,70.94,211,Medium
189,Diabetes Screening,43.33,467,Critical
190,Child Vaccination,70.1,1494,Medium
190,TB Screening,67.8,977,Medium
190,Diabetes Screening,71.48,893,Medium
191,Child Vaccination,48.2,1282,High
191,TB Screening,58.01,768,High
191,Diabetes Screening,68.62,800,Medium
192,Child Vaccination,46.38,393,High
192,TB Screening,51.29,417,High
192,Diabetes Screening,72.02,235,Medium
193,Child Vaccination,44.95,360,Critical
193,TB Screening,68.01,254,Medium
193,Diabetes Screening,84.43,85,Low
194,Child Vaccination,64.87,209,Medium
194,TB Screening,68.21,288,Medium
194,Diabetes Screening,65.11,269,Medium
195,Child Vaccination,43.15,1207,Critical
195,TB Screening,65.41,856,Medium
195,Diabetes Screening,84.36,480,Low
196,Child Vaccination,79.75,529,Low
196,TB Screening,61.77,1057,Medium
196,Diabetes Screening,84.89,561,Low
197,Child Vaccination,81.01,878,Low
197,TB Screening,71.79,1191,Medium
197,Diabetes Screening,42.48,2685,Critical
198,Child Vaccination,58.94,2022,High
198,TB Screening,43.49,2688,Critical
198,Diabetes Screening,94.67,227,Low
199,Child Vaccination,91.39,412,Low
199,TB Screening,43.79,2286,Critical
199,Diabetes Screening,91.34,335,Low
200,Child Vaccination,41.74,2309,Critical
200,TB Screening,62.46,1261,Medium
200,Diabetes Screening,82.28,615,Low
201,Child Vaccination,82.11,452,Low
201,TB Screening,93.8,116,Low
201,Diabetes Screening,75.52,368,Low
202,Child Vaccination,63.11,805,Medium
202,TB Screening,94.57,111,Low
202,Diabetes Screening,61.02,1470,Medium
203,Child Vaccination,87.67,46,Low
203,TB Screening,89.72,66,Low
203,Diabetes Screening,60.57,263,Medium
204,Child Vaccination,77.54,953,Low
204,TB Screening,76.39,508,Low
204,Diabetes Screening,69.63,878,Medium
205,Child Vaccination,75.93,1275,Low
205,TB Screening,59.11,1306,High
205,Diabetes Screening,49.81,2011,High
206,Child Vaccination,69.51,707,Medium
206,TB Screening,69.07,1199,Medium
206,Diabetes Screening,80.01,747,Low
207,Child Vaccination,52.25,1212,High
207,TB Screening,40.18,923,Critical
207,Diabetes Screening,41.24,1154,Critical
208,Child Vaccination,56.4,950,High
208,TB Screening,77.04,607,Low
208,Diabetes Screening,69.92,564,Medium
209,Child Vaccination,69.22,652,Medium
209,TB Screening,85.28,273,Low
209,Diabetes Screening,53.6,1217,High
210,Child Vaccination,59.04,1165,High
210,TB Screening,55.16,1360,High
210,Diabetes Screening,91.55,214,Low
