location_id,scheme_name,received_population,last_updated
23,TB Screening,1419,2026-01-05
23,Diabetes Screening,1939,2026-01-05
24,Child Vaccination,925,2026-01-05
24,TB Screening,1431,2026-01-05
24,Diabetes Screening,1437,2026-01-05
25,Child Vaccination,1833,2026-01-05
25,TB Screening,3266,2026-01-05
25,Diabetes Screening,4320,2026-01-05
26,Child Vaccination,634,2026-01-05
26,TB Screening,1707,2026-01-05
26,Diabetes Screening,700,2026-01-05
27,Child Vaccination,570,2026-01-05
27,TB Screening,429,2026-01-05
27,Diabetes Screening,761,2026-01-05
28,Child Vaccination,4287,2026-01-05
28,TB Screening,2444,2026-01-05
28,Diabetes Screening,3832,2026-01-05
29,Child Vaccination,2964,2026-01-05
29,TB Screening,5262,2026-01-05
29,Diabetes Screening,2292,2026-01-05
30,Child Vaccination,200,2026-01-05
30,TB Screening,275,2026-01-05
30,Diabetes Screening,197,2026-01-05
31,Child Vaccination,3283,2026-01-05
31,TB Screening,3932,2026-01-05
31,Diabetes Screening,3139,2026-01-05
32,Child Vaccination,1327,2026-01-05
32,TB Screening,1345,2026-01-05
32,Diabetes Screening,841,2026-01-05
33,Child Vaccination,1488,2026-01-05
33,TB Screening,1789,2026-01-05
33,Diabetes Screening,981,2026-01-05
34,Child Vaccination,729,2026-01-05
34,TB Screening,510,2026-01-05
34,Diabetes Screening,913,2026-01-05
35,Child Vaccination,3394,2026-01-05
35,TB Screening,2918,2026-01-05
35,Diabetes Screening,2260,2026-01-05
36,Child Vaccination,2096,2026-01-05
36,TB Screening,2973,2026-01-05
36,Diabetes Screening,2497,2026-01-05
37,Child Vaccination,1842,2026-01-05
37,TB Screening,1641,2026-01-05
37,Diabetes Screening,1672,2026-01-05
38,Child Vaccination,2645,2026-01-05
38,TB Screening,2171,2026-01-05
38,Diabetes Screening,2196,2026-01-05
39,Child Vaccination,380,2026-01-05
39,TB Screening,451,2026-01-05
39,Diabetes Screening,726,2026-01-05
40,Child Vaccination,2458,2026-01-05
40,TB Screening,2910,2026-01-05
40,Diabetes Screening,3019,2026-01-05
41,Child Vaccination,3503,2026-01-05
41,TB Screening,2211,2026-01-05
41,Diabetes Screening,2144,2026-01-05
42,Child Vaccination,1736,2026-01-05
42,TB Screening,3068,2026-01-05
42,Diabetes Screening,1853,2026-01-05
43,Child Vaccination,1427,2026-01-05
43,TB Screening,1356,2026-01-05
43,Diabetes Screening,1346,2026-01-05
44,Child Vaccination,3526,2026-01-05
44,TB Screening,3430,2026-01-05
44,Diabetes Screening,5255,2026-01-05
45,Child Vaccination,963,2026-01-05
45,TB Screening,1186,2026-01-05
45,Diabetes Screening,809,2026-01-05
46,Child Vaccination,1596,2026-01-05
46,TB Screening,3554,2026-01-05
46,Diabetes Screening,4250,2026-01-05
47,Child Vaccination,702,2026-01-05
47,TB Screening,294,2026-01-05
47,Diabetes Screening,235,2026-01-05
48,Child Vaccination,440,2026-01-05
48,TB Screening,392,2026-01-05
48,Diabetes Screening,527,2026-01-05
49,Child Vaccination,3535,2026-01-05
49,TB Screening,3484,2026-01-05
49,Diabetes Screening,1950,2026-01-05
50,Child Vaccination,1891,2026-01-05
50,TB Screening,4565,2026-01-05
50,Diabetes Screening,2310,2026-01-05
51,Child Vaccination,3247,2026-01-05
51,TB Screening,2143,2026-01-05
51,Diabetes Screening,1849,2026-01-05
52,Child Vaccination,2974,2026-01-05
52,TB Screening,984,2026-01-05
52,Diabetes Screening,1796,2026-01-05
53,Child Vaccination,296,2026-01-05
53,TB Screening,580,2026-01-05
53,Diabetes Screening,547,2026-01-05
54,Child Vaccination,807,2026-01-05
54,TB Screening,257,2026-01-05
54,Diabetes Screening,359,2026-01-05
55,Child Vaccination,1098,2026-01-05
55,TB Screening,473,2026-01-05
55,Diabetes Screening,364,2026-01-05
56,Child Vaccination,1342,2026-01-05
56,TB Screening,544,2026-01-05
56,Diabetes Screening,733,2026-01-05
57,Child Vaccination,472,2026-01-05
57,TB Screening,486,2026-01-05
57,Diabetes Screening,397,2026-01-05
58,Child Vaccination,1088,2026-01-05
58,TB Screening,755,2026-01-05
58,Diabetes Screening,892,2026-01-05
59,Child Vaccination,221,2026-01-05
59,TB Screening,275,2026-01-05
59,Diabetes Screening,227,2026-01-05
60,Child Vaccination,1137,2026-01-05
60,TB Screening,836,2026-01-05
60,Diabetes Screening,614,2026-01-05
61,Child Vaccination,1927,2026-01-05
61,TB Screening,2502,2026-01-05
61,Diabetes Screening,1398,2026-01-05
62,Child Vaccination,1863,2026-01-05
62,TB Screening,1545,2026-01-05
62,Diabetes Screening,1255,2026-01-05
63,Child Vaccination,1489,2026-01-05
63,TB Screening,2191,2026-01-05
63,Diabetes Screening,1670,2026-01-05
64,Child Vaccination,3031,2026-01-05
64,TB Screening,3606,2026-01-05
64,Diabetes Screening,2071,2026-01-05
65,Child Vaccination,1634,2026-01-05
65,TB Screening,1541,2026-01-05
65,Diabetes Screening,2306,2026-01-05
66,Child Vaccination,2955,2026-01-05
66,TB Screening,1148,2026-01-05
66,Diabetes Screening,3241,2026-01-05
67,Child Vaccination,3579,2026-01-05
67,TB Screening,3112,2026-01-05
67,Diabetes Screening,2058,2026-01-05
68,Child Vaccination,720,2026-01-05
68,TB Screening,1019,2026-01-05
68,Diabetes Screening,1069,2026-01-05
69,Child Vaccination,1471,2026-01-05
69,TB Screening,1327,2026-01-05
69,Diabetes Screening,1585,2026-01-05
70,Child Vaccination,1628,2026-01-05
70,TB Screening,1742,2026-01-05
70,Diabetes Screening,1586,2026-01-05
71,Child Vaccination,989,2026-01-05
71,TB Screening,1285,2026-01-05
71,Diabetes Screening,1021,2026-01-05
72,Child Vaccination,2192,2026-01-05
72,TB Screening,1214,2026-01-05
72,Diabetes Screening,2290,2026-01-05
73,Child Vaccination,1436,2026-01-05
73,TB Screening,1183,2026-01-05
73,Diabetes Screening,1207,2026-01-05
74,Child Vaccination,1798,2026-01-05
74,TB Screening,697,2026-01-05
74,Diabetes Screening,850,2026-01-05
75,Child Vaccination,3242,2026-01-05
75,TB Screening,3570,2026-01-05
75,Diabetes Screening,2338,2026-01-05
76,Child Vaccination,409,2026-01-05
76,TB Screening,405,2026-01-05
76,Diabetes Screening,137,2026-01-05
77,Child Vaccination,1132,2026-01-05
77,TB Screening,723,2026-01-05
77,Diabetes Screening,776,2026-01-05
78,Child Vaccination,1089,2026-01-05
78,TB Screening,615,2026-01-05
78,Diabetes Screening,746,2026-01-05
79,Child Vaccination,3062,2026-01-05
79,TB Screening,1505,2026-01-05
79,Diabetes Screening,1850,2026-01-05
80,Child Vaccination,2723,2026-01-05
80,TB Screening,1715,2026-01-05
80,Diabetes Screening,2820,2026-01-05
81,Child Vaccination,2201,2026-01-05
81,TB Screening,2178,2026-01-05
81,Diabetes Screening,1648,2026-01-05
82,Child Vaccination,2788,2026-01-05
82,TB Screening,1712,2026-01-05
82,Diabetes Screening,3788,2026-01-05
83,Child Vaccination,613,2026-01-05
83,TB Screening,1114,2026-01-05
83,Diabetes Screening,1084,2026-01-05
84,Child Vaccination,1992,2026-01-05
84,TB Screening,1446,2026-01-05
84,Diabetes Screening,2158,2026-01-05
85,Child Vaccination,2222,2026-01-05
85,TB Screening,1679,2026-01-05
85,Diabetes Screening,1632,2026-01-05
86,Child Vaccination,582,2026-01-05
86,TB Screening,461,2026-01-05
86,Diabetes Screening,421,2026-01-05
87,Child Vaccination,441,2026-01-05
87,TB Screening,198,2026-01-05
87,Diabetes Screening,576,2026-01-05
88,Child Vaccination,2119,2026-01-05
88,TB Screening,1270,2026-01-05
88,Diabetes Screening,1636,2026-01-05
89,Child Vaccination,1618,2026-01-05
89,TB Screening,3558,2026-01-05
89,Diabetes Screening,1107,2026-01-05
90,Child Vaccination,547,2026-01-05
90,TB Screening,681,2026-01-05
90,Diabetes Screening,1199,2026-01-05
91,Child Vaccination,2170,2026-01-05
91,TB Screening,3125,2026-01-05
91,Diabetes Screening,2795,2026-01-05
92,Child Vaccination,2406,2026-01-05
92,TB Screening,2436,2026-01-05
92,Diabetes Screening,1895,2026-01-05
93,Child Vaccination,1292,2026-01-05
93,TB Screening,1341,2026-01-05
93,Diabetes Screening,1218,2026-01-05
94,Child Vaccination,1757,2026-01-05
94,TB Screening,2298,2026-01-05
94,Diabetes Screening,1565,2026-01-05
95,Child Vaccination,1102,2026-01-05
95,TB Screening,526,2026-01-05
95,Diabetes Screening,1083,2026-01-05
96,Child Vaccination,1927,2026-01-05
96,TB Screening,2070,2026-01-05
96,Diabetes Screening,2807,2026-01-05
97,Child Vaccination,1207,2026-01-05
97,TB Screening,2733,2026-01-05
97,Diabetes Screening,2506,2026-01-05
98,Child Vaccination,2453,2026-01-05
98,TB Screening,1731,2026-01-05
98,Diabetes Screening,901,2026-01-05
99,Child Vaccination,265,2026-01-05
99,TB Screening,291,2026-01-05
99,Diabetes Screening,416,2026-01-05
100,Child Vaccination,2116,2026-01-05
100,TB Screening,2047,2026-01-05
100,Diabetes Screening,1979,2026-01-05
101,Child Vaccination,880,2026-01-05
101,TB Screening,649,2026-01-05
101,Diabetes Screening,1344,2026-01-05
102,Child Vaccination,1473,2026-01-05
102,TB Screening,953,2026-01-05
102,Diabetes Screening,2268,2026-01-05
103,Child Vaccination,708,2026-01-05
103,TB Screening,1494,2026-01-05
103,Diabetes Screening,1203,2026-01-05
104,Child Vaccination,1725,2026-01-05
104,TB Screening,4014,2026-01-05
104,Diabetes Screening,2251,2026-01-05
105,Child Vaccination,1020,2026-01-05
105,TB Screening,1780,2026-01-05
105,Diabetes Screening,725,2026-01-05
106,Child Vaccination,298,2026-01-05
106,TB Screening,384,2026-01-05
106,Diabetes Screening,279,2026-01-05
107,Child Vaccination,1799,2026-01-05
107,TB Screening,930,2026-01-05
107,Diabetes Screening,1581,2026-01-05
108,Child Vaccination,783,2026-01-05
108,TB Screening,1215,2026-01-05
108,Diabetes Screening,3065,2026-01-05
109,Child Vaccination,1939,2026-01-05
109,TB Screening,1816,2026-01-05
109,Diabetes Screening,1669,2026-01-05
110,Child Vaccination,2712,2026-01-05
110,TB Screening,3547,2026-01-05
110,Diabetes Screening,4255,2026-01-05
111,Child Vaccination,4427,2026-01-05
111,TB Screening,3763,2026-01-05
111,Diabetes Screening,3395,2026-01-05
112,Child Vaccination,711,2026-01-05
112,TB Screening,573,2026-01-05
112,Diabetes Screening,577,2026-01-05
113,Child Vaccination,4406,2026-01-05
113,TB Screening,1358,2026-01-05
113,Diabetes Screening,3851,2026-01-05
114,Child Vaccination,4135,2026-01-05
114,TB Screening,2224,2026-01-05
114,Diabetes Screening,3613,2026-01-05
115,Child Vaccination,2926,2026-01-05
115,TB Screening,874,2026-01-05
115,Diabetes Screening,2584,2026-01-05
116,Child Vaccination,2312,2026-01-05
116,TB Screening,3862,2026-01-05
116,Diabetes Screening,2357,2026-01-05
117,Child Vaccination,2768,2026-01-05
117,TB Screening,1280,2026-01-05
117,Diabetes Screening,807,2026-01-05
118,Child Vaccination,3158,2026-01-05
118,TB Screening,1954,2026-01-05
118,Diabetes Screening,1516,2026-01-05
119,Child Vaccination,2481,2026-01-05
119,TB Screening,2868,2026-01-05
119,Diabetes Screening,2724,2026-01-05
120,Child Vaccination,1278,2026-01-05
120,TB Screening,1073,2026-01-05
120,Diabetes Screening,944,2026-01-05
121,Child Vaccination,2798,2026-01-05
121,TB Screening,2302,2026-01-05
121,Diabetes Screening,2517,2026-01-05
122,Child Vaccination,2221,2026-01-05
122,TB Screening,1668,2026-01-05
122,Diabetes Screening,1261,2026-01-05
123,Child Vaccination,876,2026-01-05
123,TB Screening,864,2026-01-05
123,Diabetes Screening,857,2026-01-05
124,Child Vaccination,2720,2026-01-05
124,TB Screening,2148,2026-01-05
124,Diabetes Screening,3543,2026-01-05
125,Child Vaccination,2310,2026-01-05
125,TB Screening,2195,2026-01-05
125,Diabetes Screening,3630,2026-01-05
126,Child Vaccination,2380,2026-01-05
126,TB Screening,2230,2026-01-05
126,Diabetes Screening,1736,2026-01-05
127,Child Vaccination,1043,2026-01-05
127,TB Screening,284,2026-01-05
127,Diabetes Screening,840,2026-01-05
128,Child Vaccination,2405,2026-01-05
128,TB Screening,2151,2026-01-05
128,Diabetes Screening,3620,2026-01-05
129,Child Vaccination,986,2026-01-05
129,TB Screening,925,2026-01-05
129,Diabetes Screening,855,2026-01-05
130,Child Vaccination,1963,2026-01-05
130,TB Screening,2472,2026-01-05
130,Diabetes Screening,2017,2026-01-05
131,Child Vaccination,2472,2026-01-05
131,TB Screening,1741,2026-01-05
131,Diabetes Screening,2961,2026-01-05
132,Child Vaccination,1659,2026-01-05
132,TB Screening,3347,2026-01-05
132,Diabetes Screening,1938,2026-01-05
133,Child Vaccination,1514,2026-01-05
133,TB Screening,1745,2026-01-05
133,Diabetes Screening,1754,2026-01-05
134,Child Vaccination,2751,2026-01-05
134,TB Screening,3145,2026-01-05
134,Diabetes Screening,2948,2026-01-05
135,Child Vaccination,2833,2026-01-05
135,TB Screening,4904,2026-01-05
135,Diabetes Screening,3208,2026-01-05
136,Child Vaccination,1139,2026-01-05
136,TB Screening,1101,2026-01-05
136,Diabetes Screening,1386,2026-01-05
137,Child Vaccination,2811,2026-01-05
137,TB Screening,3999,2026-01-05
137,Diabetes Screening,3294,2026-01-05
138,Child Vaccination,820,2026-01-05
138,TB Screening,724,2026-01-05
138,Diabetes Screening,767,2026-01-05
139,Child Vaccination,1934,2026-01-05
139,TB Screening,1845,2026-01-05
139,Diabetes Screening,1693,2026-01-05
140,Child Vaccination,1860,2026-01-05
140,TB Screening,2668,2026-01-05
140,Diabetes Screening,2056,2026-01-05
141,Child Vaccination,289,2026-01-05
141,TB Screening,142,2026-01-05
141,Diabetes Screening,306,2026-01-05
142,Child Vaccination,1947,2026-01-05
142,TB Screening,1272,2026-01-05
142,Diabetes Screening,1795,2026-01-05
143,Child Vaccination,1900,2026-01-05
143,TB Screening,1110,2026-01-05
143,Diabetes Screening,1866,2026-01-05
144,Child Vaccination,2646,2026-01-05
144,TB Screening,2306,2026-01-05
144,Diabetes Screening,2227,2026-01-05
145,Child Vaccination,2887,2026-01-05
145,TB Screening,3420,2026-01-05
145,Diabetes Screening,2327,2026-01-05
146,Child Vaccination,1457,2026-01-05
146,TB Screening,1579,2026-01-05
146,Diabetes Screening,1201,2026-01-05
147,Child Vaccination,806,2026-01-05
147,TB Screening,1069,2026-01-05
147,Diabetes Screening,1209,2026-01-05
148,Child Vaccination,2932,2026-01-05
148,TB Screening,2635,2026-01-05
148,Diabetes Screening,2318,2026-01-05
149,Child Vaccination,2371,2026-01-05
149,TB Screening,1532,2026-01-05
149,Diabetes Screening,2397,2026-01-05
150,Child Vaccination,778,2026-01-05
150,TB Screening,1272,2026-01-05
150,Diabetes Screening,866,2026-01-05
151,Child Vaccination,1998,2026-01-05
151,TB Screening,2288,2026-01-05
151,Diabetes Screening,2229,2026-01-05
152,Child Vaccination,965,2026-01-05
152,TB Screening,2097,2026-01-05
152,Diabetes Screening,2393,2026-01-05
153,Child Vaccination,1296,2026-01-05
153,TB Screening,2520,2026-01-05
153,Diabetes Screening,2089,2026-01-05
154,Child Vaccination,2503,2026-01-05
154,TB Screening,1603,2026-01-05
154,Diabetes Screening,2502,2026-01-05
155,Child Vaccination,262,2026-01-05
155,TB Screening,282,2026-01-05
155,Diabetes Screening,325,2026-01-05
156,Child Vaccination,483,2026-01-05
156,TB Screening,1067,2026-01-05
156,Diabetes Screening,1200,2026-01-05
157,Child Vaccination,3131,2026-01-05
157,TB Screening,4514,2026-01-05
157,Diabetes Screening,2408,2026-01-05
158,Child Vaccination,2305,2026-01-05
158,TB Screening,915,2026-01-05
158,Diabetes Screening,1626,2026-01-05
159,Child Vaccination,811,2026-01-05
159,TB Screening,1027,2026-01-05
159,Diabetes Screening,1017,2026-01-05
160,Child Vaccination,230,2026-01-05
160,TB Screening,403,2026-01-05
160,Diabetes Screening,317,2026-01-05
161,Child Vaccination,1577,2026-01-05
161,TB Screening,1628,2026-01-05
161,Diabetes Screening,2178,2026-01-05
162,Child Vaccination,2555,2026-01-05
162,TB Screening,4047,2026-01-05
162,Diabetes Screening,2605,2026-01-05
163,Child Vaccination,2734,2026-01-05
163,TB Screening,1505,2026-01-05
163,Diabetes Screening,1786,2026-01-05
164,Child Vaccination,2187,2026-01-05
164,TB Screening,3932,2026-01-05
164,Diabetes Screening,3810,2026-01-05
165,Child Vaccination,2303,2026-01-05
165,TB Screening,2079,2026-01-05
165,Diabetes Screening,979,2026-01-05
166,Child Vaccination,1914,2026-01-05
166,TB Screening,1058,2026-01-05
166,Diabetes Screening,2912,2026-01-05
167,Child Vaccination,1773,2026-01-05
167,TB Screening,4265,2026-01-05
167,Diabetes Screening,4088,2026-01-05
168,Child Vaccination,2227,2026-01-05
168,TB Screening,4009,2026-01-05
168,Diabetes Screening,4021,2026-01-05
169,Child Vaccination,3125,2026-01-05
169,TB Screening,1561,2026-01-05
169,Diabetes Screening,1305,2026-01-05
170,Child Vaccination,1589,2026-01-05
170,TB Screening,2952,2026-01-05
170,Diabetes Screening,2719,2026-01-05
171,Child Vaccination,497,2026-01-05
171,TB Screening,541,2026-01-05
171,Diabetes Screening,892,2026-01-05
172,Child Vaccination,2386,2026-01-05
172,TB Screening,3271,2026-01-05
172,Diabetes Screening,1996,2026-01-05
173,Child Vaccination,424,2026-01-05
173,TB Screening,597,2026-01-05
173,Diabetes Screening,454,2026-01-05
174,Child Vaccination,1286,2026-01-05
174,TB Screening,836,2026-01-05
174,Diabetes Screening,1672,2026-01-05
175,Child Vaccination,2322,2026-01-05
175,TB Screening,1489,2026-01-05
175,Diabetes Screening,1651,2026-01-05
176,Child Vaccination,1901,2026-01-05
176,TB Screening,1715,2026-01-05
176,Diabetes Screening,1630,2026-01-05
177,Child Vaccination,1913,2026-01-05
177,TB Screening,3273,2026-01-05
177,Diabetes Screening,1709,2026-01-05
178,Child Vaccination,3499,2026-01-05
178,TB Screening,1234,2026-01-05
178,Diabetes Screening,4317,2026-01-05
179,Child Vaccination,495,2026-01-05
179,TB Screening,513,2026-01-05
179,Diabetes Screening,547,2026-01-05
180,Child Vaccination,1437,2026-01-05
180,TB Screening,1456,2026-01-05
180,Diabetes Screening,1529,2026-01-05
181,Child Vaccination,3527,2026-01-05
181,TB Screening,3643,2026-01-05
181,Diabetes Screening,2813,2026-01-05
182,Child Vaccination,1111,2026-01-05
182,TB Screening,2770,2026-01-05
182,Diabetes Screening,1557,2026-01-05
183,Child Vaccination,1256,2026-01-05
183,TB Screening,1005,2026-01-05
183,Diabetes Screening,687,2026-01-05
184,Child Vaccination,358,2026-01-05
184,TB Screening,628,2026-01-05
184,Diabetes Screening,1050,2026-01-05
185,Child Vaccination,850,2026-01-05
185,TB Screening,1248,2026-01-05
185,Diabetes Screening,1013,2026-01-05
186,Child Vaccination,2195,2026-01-05
186,TB Screening,2595,2026-01-05
186,Diabetes Screening,2074,2026-01-05
187,Child Vaccination,814,2026-01-05
187,TB Screening,1319,2026-01-05
187,Diabetes Screening,1042,2026-01-05
188,Child Vaccination,165,2026-01-05
188,TB Screening,222,2026-01-05
188,Diabetes Screening,302,2026-01-05
189,Child Vaccination,263,2026-01-05
189,TB Screening,515,2026-01-05
189,Diabetes Screening,357,2026-01-05
190,Child Vaccination,3503,2026-01-05
190,TB Screening,2057,2026-01-05
190,Diabetes Screening,2238,2026-01-05
191,Child Vaccination,1193,2026-01-05
191,TB Screening,1061,2026-01-05
191,Diabetes Screening,1749,2026-01-05
192,Child Vaccination,340,2026-01-05
192,TB Screening,439,2026-01-05
192,Diabetes Screening,605,2026-01-05
193,Child Vaccination,294,2026-01-05
193,TB Screening,540,2026-01-05
193,Diabetes Screening,461,2026-01-05
194,Child Vaccination,386,2026-01-05
194,TB Screening,618,2026-01-05
194,Diabetes Screening,502,2026-01-05
195,Child Vaccination,916,2026-01-05
195,TB Screening,1619,2026-01-05
195,Diabetes Screening,2590,2026-01-05
196,Child Vaccination,2083,2026-01-05
196,TB Screening,1708,2026-01-05
196,Diabetes Screening,3152,2026-01-05
197,Child Vaccination,3745,2026-01-05
197,TB Screening,3031,2026-01-05
197,Diabetes Screening,1983,2026-01-05
198,Child Vaccination,2902,2026-01-05
198,TB Screening,2069,2026-01-05
198,Diabetes Screening,4032,2026-01-05
199,Child Vaccination,4375,2026-01-05
199,TB Screening,1781,2026-01-05
199,Diabetes Screening,3533,2026-01-05
200,Child Vaccination,1654,2026-01-05
200,TB Screening,2098,2026-01-05
200,Diabetes Screening,2856,2026-01-05
201,Child Vaccination,2074,2026-01-05
201,TB Screening,1756,2026-01-05
201,Diabetes Screening,1135,2026-01-05
202,Child Vaccination,1377,2026-01-05
202,TB Screening,1935,2026-01-05
202,Diabetes Screening,2301,2026-01-05
203,Child Vaccination,327,2026-01-05
203,TB Screening,576,2026-01-05
203,Diabetes Screening,404,2026-01-05
204,Child Vaccination,3290,2026-01-05
204,TB Screening,1644,2026-01-05
204,Diabetes Screening,2013,2026-01-05
205,Child Vaccination,4023,2026-01-05
205,TB Screening,1888,2026-01-05
205,Diabetes Screening,1996,2026-01-05
206,Child Vaccination,1612,2026-01-05
206,TB Screening,2678,2026-01-05
206,Diabetes Screening,2990,2026-01-05
207,Child Vaccination,1326,2026-01-05
207,TB Screening,620,2026-01-05
207,Diabetes Screening,810,2026-01-05
208,Child Vaccination,1229,2026-01-05
208,TB Screening,2037,2026-01-05
208,Diabetes Screening,1311,2026-01-05
209,Child Vaccination,1466,2026-01-05
209,TB Screening,1581,2026-01-05
209,Diabetes Screening,1406,2026-01-05
210,Child Vaccination,1679,2026-01-05
210,TB Screening,1673,2026-01-05
210,Diabetes Screening,2320,2026-01-05
